Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-356 b,4.612696,0.057,,3.09,1.57,4.39,,844.98,639,6133,4.26,0.398,1.17,1.33,0
Kepler-356 c,13.121632,0.115,,3.93,1.81,3.64,,209.37,639,6133,4.26,0.398,1.17,1.33,0
Kepler-357 b,6.475434,0.063,,4.04,1.84,3.56,,69.57,741,5036,4.5,-0.591,0.81,0.83,0
Kepler-357 c,16.85837,0.12,,7.61,2.67,2.2,,19.4,741,5036,4.5,-0.591,0.81,0.83,0
Kepler-357 d,49.499875,0.246,,11.6,3.43,1.58,,4.62,741,5036,4.5,-0.591,0.81,0.83,0
Kepler-358 b,34.060467,0.21,,7.85,2.72,2.14,,21.8,1067,5908,4.5,-0.145,0.94,0.95,0
Kepler-358 c,83.488369,0.381,,8.5,2.85,2.02,,6.6,1067,5908,4.5,-0.145,0.94,0.95,0
Kepler-359 b,25.563222,0.178,,12.2,3.53,1.52,,,2037,6248,4.43,-0.117,1.14,1.09,0
Kepler-359 c,57.68802,0.307,,2.9,4.3,0.1,,,2037,6248,4.43,-0.117,1.14,1.09,0
Kepler-359 d,77.095691,0.372,,2.7,4.01,0.1,,,2037,6248,4.43,-0.117,1.14,1.09,0
Kepler-36 b,13.83989,0.1153,0.039,4.45,1.486,7.46,978,243.95,470,5911,4.04,0.462,1.07,1.63,0
Kepler-36 c,16.23855,0.1283,0.033,8.08,3.679,0.89,928,197.56,470,5911,4.04,0.462,1.07,1.63,0
Kepler-360 b,3.289672,0.044,,3.36,1.65,4.11,,415.43,881,6053,4.42,-0.134,0.95,1.06,0
Kepler-360 c,7.186434,0.075,,5.06,2.1,3,,146.5,881,6053,4.42,-0.134,0.95,1.06,0
Kepler-361 b,8.486616,0.086,,2.7,1.45,4.87,,411.9,800,6169,4.25,0.413,1.17,1.34,0
Kepler-361 c,55.188023,0.3,,6.9,2.52,2.37,,33.95,800,6169,4.25,0.413,1.17,1.34,0
Kepler-362 b,10.327186,0.087,,0.615,0.88,4.96,,207.34,658,5788,4.64,0.191,0.86,0.72,0
Kepler-362 c,37.866281,0.207,,2.7,1.45,4.87,,36.67,658,5788,4.64,0.191,0.86,0.72,0
Kepler-363 b,3.614568,0.048,,1.65,1.16,5.81,,1000.24,606,5593,4.15,0.348,1.1,1.49,0
Kepler-363 c,7.542427,0.079,,66.4,1.69,75.6,,376.29,606,5593,4.15,0.348,1.1,1.49,0
Kepler-363 d,11.932125,0.107,,4.86,2.05,3.1,,203.76,606,5593,4.15,0.348,1.1,1.49,0
Kepler-364 b,25.745718,0.178,,3.02,1.55,4.46,,68.71,941,6108,4.27,0.341,1.19,1.28,0
Kepler-364 c,59.980627,0.312,,5.27,2.15,2.91,,22.23,941,6108,4.27,0.341,1.19,1.28,0
Kepler-365 b,10.664903,0.098,,4.82,2.04,3.12,,,950,6012,4.43,0.112,1.02,1.05,0
Kepler-365 c,17.784129,0.137,,3.33,1.64,4.15,,,950,6012,4.43,0.112,1.02,1.05,0
