Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
TRAPPIST-1 e,6.099615,0.02817,0.085,0.62,0.918,4.4,251.0,0.66,12.1,2559.0,,-3.281,0.08,0.12,1
Proxima Cen b,11.186,0.0485,0.35,1.27,1.08,5.54,234.0,0.65,1.29,3050.0,,-2.81,0.12,0.14,1
Kepler-1229 b,86.828989,0.3006,,2.54,1.4,6.13,212.0,0.52,236.0,3784.0,4.75,-1.177,0.54,0.51,1
GJ 667 C f,39.026,0.156,0.03,2.7,1.45,4.87,,,6.8,3350.0,4.69,-1.863,0.33,,1
Kepler-442 b,112.3053,0.409,0.04,2.36,1.34,5.39,,0.66,342.0,4402.0,4.67,-0.932,0.61,0.6,1
GJ 667 C e,62.24,0.213,0.02,2.7,1.45,4.87,,,6.8,3350.0,4.69,-1.863,0.33,,1
TRAPPIST-1 f,9.20669,0.0371,0.063,0.68,1.045,3.3,219.0,0.38,12.1,2559.0,,-3.281,0.08,0.12,1
Kepler-62 f,267.291,0.718,,35.0,1.41,,208.0,0.48,368.0,4925.0,4.68,-0.678,0.69,0.64,1
TRAPPIST-1 g,12.35294,0.0451,0.061,1.34,1.127,5.2,199.0,0.26,12.1,2559.0,,-3.281,0.08,0.12,1
Kepler-186 f,129.9441,0.432,0.04,1.71,1.17,5.87,,0.3,172.0,3755.0,4.74,-1.26,0.54,0.52,1
K2-72 e,24.158868,0.106,0.11,2.21,1.29,5.66,,1.2,66.56,3360.47,5.05,-1.9,0.27,0.33,1
GJ 3323 b,5.3636,0.03282,0.23,2.02,1.23,5.96,,2.58,5.32,3159.0,,-2.569,0.16,0.12,1
TRAPPIST-1 d,4.04961,0.02144,0.07,0.41,0.772,4.9,288.0,1.14,12.1,2559.0,,-3.281,0.08,0.12,1
GJ 273 b,18.6498,0.091101,0.1,2.89,1.51,4.61,,1.06,3.8,3382.0,,-2.056,0.29,0.29,1
Kepler-452 b,384.843,1.046,,3.29,1.63,4.17,265.0,1.1,548.0,5757.0,4.32,0.02,1.04,1.11,1
Kepler-62 e,122.3874,0.427,,36.0,1.61,,270.0,1.35,368.0,4925.0,4.68,-0.678,0.69,0.64,1
Kepler-1652 b,38.09722,0.1654,,3.19,1.6,9.9,268.0,0.81,252.0,3638.0,4.88,-1.638,0.4,0.38,1
Kepler-1544 b,168.811174,0.5421,,3.82,1.78,2.9,269.0,0.83,349.0,4886.0,4.61,-0.636,0.81,0.74,1
K2-3 d,44.55983,0.2076,0.045,7.5,1.51,17.5,282.0,1.5,44.13,3896.0,4.72,-1.19,0.6,0.56,1
Kepler-296 e,34.14211,0.169,0.33,2.96,1.53,4.1,337.0,1.41,226.0,3740.0,4.77,-1.509,0.5,0.48,1
Wolf 1061 c,17.8719,0.089,0.11,3.41,1.66,4.1,,1.3,4.31,3342.0,,-1.991,0.29,0.31,1
Kepler-283 c,92.743711,0.341,,3.97,1.82,3.62,,0.95,453.0,4351.0,4.72,-0.98,0.63,0.57,1
GJ 667 C c,28.14,0.125,0.02,3.8,1.77,3.77,,,6.8,3350.0,4.69,-1.863,0.33,,1
Kepler-1410 b,60.866168,0.2543,,3.82,1.78,4.63,290.0,1.06,367.0,4092.0,4.67,-1.158,0.63,0.6,1
Kepler-1638 b,259.33683,0.745,,4.16,1.87,0.56,304.0,2.76,879.0,5710.0,4.47,0.391,0.97,0.95,1
Kepler-296 f,63.33627,0.255,0.33,3.89,1.8,3.2,274.0,0.62,226.0,3740.0,4.77,-1.509,0.5,0.48,1
Kepler-705 b,56.0560538,0.232,,5.1,2.11,5.55,265.0,0.73,251.0,3722.0,4.75,-1.289,0.53,0.51,1
Kepler-440 b,101.11141,0.242,0.34,4.12,1.86,3.52,,1.2,261.0,4134.0,4.71,-1.102,0.57,0.56,1
Kepler-1653 b,140.2524,0.4706,,5.35,2.17,3.08,284.0,0.98,755.0,4807.0,4.62,-0.636,0.72,0.69,1
tau Cet e,162.87,0.538,0.18,3.93,1.81,3.64,,,3.6,5310.0,4.52,-0.305,0.78,0.83,1
GJ 832 c,35.68,0.163,0.18,5.4,2.18,2.86,,,4.97,3472.0,4.7,-1.585,0.45,0.45,1
Kepler-1606 b,196.435224,0.6421,,4.94,2.07,1.67,324.0,1.29,880.0,5422.0,4.53,-0.292,0.9,0.86,1
Kepler-1090 b,198.680179,,,5.69,2.25,2.74,,1.82,702.0,5321.0,4.55,-0.194,0.86,0.82,1
Kepler-61 b,59.87756,0.24861,0.25,5.27,2.15,2.91,273.0,1.69,314.0,4017.0,4.67,-0.923,0.64,0.62,1
Kepler-443 b,177.6693,0.495,0.11,6.04,2.33,2.62,,0.86,779.0,4723.0,4.61,-0.664,0.74,0.71,1
Kepler-22 b,289.8623,0.849,0.0,36.0,2.38,14.7,262.0,0.96,190.0,5518.0,4.44,-0.102,0.97,0.98,1
K2-18 b,32.93963,0.143,0.43,7.96,2.38,3.3,235.0,1.05,34.0,3457.0,4.86,-1.66,0.36,0.41,1
K2-9 b,18.4498,0.091,,5.69,2.25,2.74,314.0,1.36,83.16,3390.0,4.82,-1.921,0.3,0.31,1
Kepler-26 e,46.827915,0.22,,6.39,2.41,2.51,,1.75,339.0,3914.0,4.68,-1.033,0.54,0.51,1
Kepler-1552 b,184.771853,,,6.66,2.47,2.43,,1.85,618.0,5202.0,4.58,-0.264,0.85,0.78,1
Kepler-1540 b,125.4131177,,,6.76,2.49,2.41,,0.85,262.0,4540.0,4.63,-0.835,0.74,0.69,1
LHS 1140 b,24.736959,0.0936,0.06,6.98,1.727,7.5,235.0,0.5,12.47,3216.0,,-2.356,0.18,0.21,1
Kepler-1632 b,448.303558,,,6.66,2.47,2.43,,6.06,584.0,6137.0,4.33,0.373,1.12,1.19,1
HD 40307 g,197.8,0.6,0.29,7.1,2.56,2.33,255.0,,12.94,4956.0,4.47,-0.639,0.77,0.71,1
GJ 163 c,25.63058,0.1254,0.099,6.8,2.5,2.39,,,15.14,3500.0,,-1.708,0.4,0.43,1
Kepler-298 d,77.473633,0.305,,6.8,2.5,2.39,,1.72,504.0,4465.0,4.71,-0.804,0.69,0.58,1
K2-288 B b,31.393463,0.164,,4.27,1.9,3.42,226.0,,65.72,3341.0,4.96,-1.93,0.33,0.32,1
GJ 3293 d,48.1345,0.19394,0.12,7.6,2.67,2.19,,0.59,20.2,3466.0,,-1.658,0.42,0.4,1
Kepler-174 d,247.35373,0.677,,5.43,2.19,2.84,,0.53,371.0,4880.0,4.68,-0.611,0.71,0.62,1
11 Com b,326.03,1.29,0.231,6165.6,12.1,19.1,,,93.37,4742.0,2.31,2.243,2.7,19.0,0
11 UMi b,516.21997,1.53,0.08,4684.8142,12.3,13.8,,,125.72,4213.0,1.93,2.43,2.78,29.79,0
14 And b,185.84,0.83,0.0,1525.5,12.9,3.9,,,75.59,4813.0,2.63,1.763,2.2,11.0,0
14 Her b,1773.40002,2.93,0.37,1481.0878,12.9,3.79,,,17.94,5338.0,4.45,-0.151,0.9,0.93,0
16 Cyg B b,798.5,1.66,0.68,565.7374,13.5,1.26,,,21.41,5750.0,4.36,0.1,1.08,1.13,0
18 Del b,993.3,2.6,0.08,3273.5,12.5,9.21,,,76.38,4979.0,2.82,1.602,2.3,8.5,0
1RXS J160929.1-210524 b,,330.0,,3000.0,18.647,2.54,1700.0,,145.0,4060.0,,-0.37,0.85,1.18,0
24 Boo b,30.3506,0.19,0.042,289.2253,13.9,0.592,,,96.25,4893.0,2.42,1.774,0.99,10.64,0
24 Sex b,452.8,1.333,0.09,632.46,13.4,1.44,,,72.21,5098.0,3.5,1.164,1.54,4.9,0
24 Sex c,883.0,2.08,0.29,273.32,13.9,0.559,,,72.21,5098.0,3.5,1.164,1.54,4.9,0
2MASS J01225093-2439505 b,,52.0,,7786.5,11.209,30.4,1600.0,,36.0,3530.0,,-1.72,0.4,,0
2MASS J02192210-3925225 b,,156.0,,4417.837,16.141,5.77,,,39.4,3064.0,4.59,-2.23,0.11,0.28,0
2MASS J04414489+2301513 b,,15.0,,2383.6,12.6,6.55,,,140.0,,,,0.02,,0
2MASS J12073346-3932539 b,,46.0,,1271.0,13.0,3.18,1150.0,,52.4,,,,0.02,,0
2MASS J19383260+4603591 b,416.0,0.92,,603.877,13.4,1.38,,,396.36,10868.0,3.91,0.168,0.48,0.34,0
2MASS J21402931+1625183 A b,7336.5,,0.26,6657.48,10.31,33.4,2075.0,,25.0,2300.0,,-3.48,0.08,0.12,0
2MASS J22362452+4751425 b,,230.0,,3972.875,12.3,11.7,,,74.0,4045.0,,-1.021,0.6,0.62,0
30 Ari B b,335.10001,0.99,0.29,4392.4106,12.3,13.0,,,44.71,6331.0,4.43,0.381,1.93,1.41,0
4 UMa b,269.3,0.87,0.432,2256.5,12.7,6.05,,,73.58,4415.0,1.8,2.062,1.23,18.11,0
42 Dra b,479.1,1.19,0.38,1233.13,13.0,3.08,,,90.86,4200.0,1.71,2.155,0.98,22.03,0
47 UMa b,1078.0,2.1,0.032,804.08,13.2,1.92,,,13.8,5892.0,4.27,0.216,1.03,1.23,0
47 UMa c,2391.0,3.6,0.098,171.621,14.2,0.329,,,13.8,5892.0,4.27,0.216,1.03,1.23,0
47 UMa d,14002.0,11.6,0.16,521.22,13.5,1.16,,,13.8,5892.0,4.27,0.216,1.03,1.23,0
51 Eri b,14965.0,13.2,0.21,635.66,13.4,1.45,700.0,,29.4,7190.1,,0.85,1.75,1.56,0
51 Peg b,4.230785,0.0527,0.013,146.2018,14.3,0.275,,,15.47,5793.0,4.33,0.147,1.12,1.2,0
55 Cnc b,14.65152,0.115227,0.0034,263.9785,13.9,0.54,700.0,,12.59,5196.0,4.45,-0.235,0.91,0.94,0
55 Cnc c,44.4175,0.241376,0.02,54.4738,8.51,0.486,,,12.59,5196.0,4.45,-0.235,0.91,0.94,0
55 Cnc d,4825.0,5.503,0.019,1232.493,13.0,3.08,,,12.59,5196.0,4.45,-0.235,0.91,0.94,0
55 Cnc e,0.736539,0.01544,0.028,8.08,1.91,6.4,1958.0,,12.59,5196.0,4.45,-0.235,0.91,0.94,0
55 Cnc f,262.0,0.788,0.305,44.812,7.59,0.563,,,12.59,5196.0,4.45,-0.235,0.91,0.94,0
6 Lyn b,934.3,2.11,0.073,638.8383,13.4,1.46,,,54.74,4938.0,3.19,1.156,1.44,5.2,0
61 Vir b,4.215,0.050201,0.12,5.1,2.11,2.98,,,8.51,5577.0,4.34,-0.095,0.94,0.96,0
61 Vir c,38.021,0.2175,0.14,18.2,4.46,1.13,,,8.51,5577.0,4.34,-0.095,0.94,0.96,0
61 Vir d,123.01,0.476,0.35,22.9,5.11,0.943,,,8.51,5577.0,4.34,-0.095,0.94,0.96,0
7 CMa b,796.0,1.93,0.22,781.8618,13.3,1.83,,,19.82,4792.0,3.25,1.053,1.52,2.3,0
70 Vir b,116.688,0.481,0.3988,2380.45,12.6,6.54,,,17.91,5495.0,3.95,0.487,1.09,1.89,0
75 Cet b,691.9,2.1,0.117,953.49,13.1,2.33,,,83.15,4846.0,2.63,1.73,2.49,10.5,0
8 UMi b,93.4,0.49,0.06,416.3573,13.6,0.91,,,159.1,4847.0,2.57,1.725,1.44,10.3,0
81 Cet b,952.7,2.5,0.206,1684.4,12.8,4.41,,,101.53,4785.0,2.35,1.778,2.4,11.0,0
91 Aqr b,181.4,0.7,0.027,1017.0,13.1,2.49,,,44.08,4665.0,2.52,1.692,1.4,11.0,0
AB Pic b,,260.0,,4290.5,12.3,12.7,,,50.12,5378.0,4.44,-0.226,0.9,1.0,0
BD+03 2562 b,481.9,1.3,0.2,2034.112,12.7,5.46,,,2618.0,4095.0,1.89,2.7,1.14,32.35,0
BD+14 4559 b,268.94,0.78,0.29,330.5432,13.8,0.691,,,49.42,4864.0,4.26,-0.424,0.49,0.86,0
BD+15 2375 b,153.22,0.576,0.001,337.21763,13.8,0.705,,,774.0,4649.0,2.61,1.57,1.08,8.95,0
BD+15 2940 b,137.48,0.539,0.26,352.78,13.7,0.754,,,431.61,4796.0,2.8,2.01,1.1,14.7,0
BD+20 2457 b,379.63,1.05,0.15,17668.1697,11.6,62.2,,,200.0,4259.0,1.77,2.768,10.83,71.02,0
BD+20 2457 c,621.99,2.01,0.18,3963.17,12.4,11.4,,,200.0,4259.0,1.77,2.768,10.83,71.02,0
BD+20 274 b,578.2,1.3,0.21,1334.886,13.0,3.34,,,1383.85,4296.0,1.99,1.96,0.8,17.3,0
BD+20 594 b,41.6855,0.241,0.0,22.2481,2.578,7.89,546.0,,180.39,5766.0,4.5,0.05,1.67,1.08,0
BD+48 738 b,392.6,1.0,0.2,289.2253,13.9,0.592,,,892.17,4414.0,2.24,1.69,0.74,11.0,0
BD+48 740 b,733.0,1.7,0.76,540.311,13.5,1.21,,,678.94,4534.0,2.48,1.64,1.09,10.33,0
BD+49 828 b,2590.0,4.2,0.35,508.5,13.5,1.14,,,447.59,4943.0,2.85,1.47,1.52,7.6,0
BD-06 1339 b,3.8728,0.0428,0.0,8.5,2.85,2.02,,,20.28,4324.0,4.74,-1.022,0.7,0.67,0
BD-06 1339 c,125.94,0.435,0.31,53.0,8.38,0.495,,,20.28,4324.0,4.74,-1.022,0.7,0.67,0
BD-08 2823 b,5.6,0.06,0.15,12.7132,3.61,1.48,,,41.38,4816.0,4.43,-0.626,0.5,0.71,0
BD-08 2823 c,237.6,0.68,0.19,104.0,12.5,0.293,,,41.38,4816.0,4.43,-0.626,0.5,0.71,0
BD-10 3166 b,3.48777,0.04,0.02,187.5197,14.1,0.368,,,80.0,5393.0,4.69,-0.191,1.47,0.91,0
BD-11 4672 b,1667.0,2.28,0.05,168.44,14.2,0.323,,,27.3,4475.0,4.1,-0.881,0.57,0.52,0
BD-13 2130 b,714.29999,1.66,0.21,3108.3774,12.5,8.75,,,766.0,4545.0,2.2,2.043,2.12,19.17,0
BD-17 63 b,655.59998,1.34,0.54,905.8155,13.2,2.16,,,34.49,4665.0,4.19,-0.651,0.31,0.74,0
CFBDSIR J145829+101343 b,10037.5,2.6,,3337.1,12.4,9.62,370.0,,23.1,580.5,4.72,,0.02,,0
CHXR 73 b,,210.0,,3994.486,12.3,11.8,,,191.05,,,,0.35,,0
CT Cha b,,440.0,,5403.0,24.66,1.98,2600.0,,165.0,4200.2,,-0.102,,1.68,0
CoRoT-1 b,1.5089557,0.02536,0.0,327.35,16.7,0.38,1898.0,,805.31,5950.0,4.25,0.298,0.95,1.11,0
CoRoT-10 b,13.2406,0.1055,0.53,874.0,10.87,3.7,600.0,,345.0,5075.0,4.65,-0.726,0.89,0.79,0
CoRoT-11 b,2.99433,0.0436,0.0,740.51,16.03,0.99,1657.0,,560.0,6440.0,4.22,0.378,1.27,1.37,0
CoRoT-12 b,2.828042,0.04016,0.07,291.438,16.14,0.411,1442.0,,1150.0,5675.0,4.38,-0.128,1.08,1.12,0
CoRoT-13 b,4.03519,0.051,0.0,415.704,9.92,2.34,1700.0,,1060.0,5945.0,4.46,0.073,1.09,1.01,0
CoRoT-14 b,1.51214,0.027,0.0,2415.4,12.22,7.3,1952.0,,1340.0,6035.0,4.35,0.119,1.13,1.21,0
CoRoT-16 b,5.35227,0.0618,0.33,170.032,13.11,0.44,,,840.0,5650.0,4.36,-0.435,1.1,1.19,0
CoRoT-17 b,3.7681,0.0461,0.0,772.29,11.43,2.82,1626.0,,920.0,5740.0,4.4,0.134,1.04,1.59,0
CoRoT-18 b,1.9000693,0.0295,0.08,1102.82,14.68,2.2,1550.0,,870.0,5440.0,4.4,-0.226,0.95,1.0,0
CoRoT-19 b,3.89713,0.0518,0.047,352.78,14.46,0.71,2000.0,,770.0,6090.0,4.07,0.544,1.21,1.65,0
CoRoT-2 b,1.7429935,0.02798,0.0143,1102.82,16.432,1.47,1521.0,,200.0,5625.0,4.53,-0.321,0.96,0.91,0
CoRoT-20 b,9.24285,0.09,0.59,1366.669,9.42,8.87,1002.0,,864.31,4947.5,4.2,0.006,1.14,1.37,0
CoRoT-20 c,1675.0,2.9,0.6,5403.11,12.2,16.4,,,864.31,4947.5,4.2,0.006,1.14,1.37,0
CoRoT-21 b,2.72474,0.0417,0.0,718.2958,14.572,1.36,,,1398.83,6200.0,3.7,0.705,1.29,1.95,0
CoRoT-22 b,9.75598,0.092,0.077,12.2,4.88,0.249,885.0,,592.0,5939.0,4.36,0.014,1.1,1.14,0
CoRoT-23 b,3.6313,0.048,0.16,889.9,11.77,3.0,1660.0,,600.0,5900.0,4.3,0.087,1.14,1.61,0
CoRoT-24 b,5.1134,0.056,0.0,5.7,3.7,0.9,1070.0,,600.0,4950.0,4.55,-0.601,0.91,0.86,0
CoRoT-24 c,11.759,0.098,0.0,28.0,5.0,1.3,850.0,,600.0,4950.0,4.55,-0.601,0.91,0.86,0
CoRoT-25 b,4.86069,0.0578,0.0,85.81,12.11,0.15,1330.0,,1000.0,6040.0,4.31,0.141,1.09,1.19,0
CoRoT-26 b,4.20474,0.0526,0.0,165.26,14.12,0.28,1600.0,,1670.0,5590.0,3.99,0.451,1.09,1.79,0
CoRoT-27 b,3.57532,0.0476,0.065,3302.11,11.287,12.6,1500.0,,1035.15,5900.0,4.4,-0.166,1.05,1.08,0
CoRoT-28 b,5.20851,0.0603,0.047,153.82972,10.705,0.69,,,560.0,5150.0,3.6,0.388,1.01,1.78,0
CoRoT-29 b,2.85057,0.0386,0.082,270.1555,10.088,1.45,,,765.0,5260.0,4.3,-0.347,0.97,0.9,0
CoRoT-3 b,4.2568,0.05783,0.0,6883.91,11.32,26.4,1695.0,,680.0,6740.0,4.22,0.391,1.37,1.56,0
CoRoT-4 b,9.20205,0.09,0.0,228.83,13.34,0.525,1074.0,,741.6,6190.0,4.41,0.185,1.16,1.17,0
CoRoT-5 b,4.0378962,0.04947,0.09,148.42,15.558,0.217,1438.0,,904.65,6100.0,4.19,0.223,1.0,1.19,0
CoRoT-6 b,8.886593,0.0855,0.1,940.74,13.068,2.32,1017.0,,657.24,6090.0,4.43,0.026,1.05,1.02,0
CoRoT-7 b,0.85359163,0.017016,0.0,3.1783,1.681,6.61,1756.0,,153.7,5275.0,4.5,-0.292,0.82,0.83,0
CoRoT-7 c,3.698,0.046,0.0,8.4,2.83,2.04,,,153.7,5275.0,4.5,-0.292,0.82,0.83,0
CoRoT-8 b,6.21229,0.063,0.0,69.92,6.39,1.6,922.0,,380.0,5080.0,4.58,-0.665,0.88,0.77,0
CoRoT-9 b,95.272656,0.4021,0.133,266.9772,11.949,0.86,420.0,,460.0,5625.0,4.54,-0.254,0.96,0.96,0
CoRoTID 223977153 b,6.71837,0.071,,47.6745,6.389,1.1,938.0,132.26,586.2,5970.0,4.67,-0.155,1.08,0.79,0
DENIS-P J082303.1-491201 b,246.36,0.36,0.345,9057.77,11.9,29.5,,,20.77,,,,0.07,,0
DH Tau b,,330.0,,3496.0,30.264,0.693,2200.0,,140.0,3751.5,,-0.569,0.33,0.27,0
DP Leo b,10220.0,8.19,0.39,1995.88832,12.7,5.35,,,,,,,0.69,,0
EPIC 211822797 b,21.169861,0.131,0.06,4.58,1.98,3.24,,3.5,187.19,4148.21,,-1.113,0.66,0.57,0
EPIC 211945201 b,19.49221,0.1493,0.0,27.0,5.76,0.65,817.0,,182.69,6069.0,4.22,0.369,1.17,1.39,0
EPIC 220674823 b,0.571331,0.0134,0.0,8.36,1.82,8.57,2119.0,4293.0,246.1,5617.0,4.45,-0.11,0.97,0.98,0
EPIC 220674823 c,13.339079,0.1091,0.18,5.8,2.73,2.0,741.0,64.0,246.1,5617.0,4.45,-0.11,0.97,0.98,0
EPIC 246851721 b,6.180235,0.07229,,953.49,11.781,3.1,1401.0,642.0,336.7,6202.0,4.16,0.526,1.32,1.59,0
FU Tau b,,800.0,,5085.28,12.2,15.4,2375.0,,140.0,2838.0,,-0.699,0.05,,0
Fomalhaut b,555530.0,160.0,0.87,826.3,13.5,1.85,,,7.7,8399.0,4.14,1.217,1.92,1.92,0
GJ 1132 b,1.628931,0.0153,0.22,1.66,1.16,6.3,529.0,,12.04,3270.0,4.88,-2.359,0.18,0.21,0
GJ 1132 c,8.929,0.0476,0.27,2.64,1.43,4.96,300.0,,12.04,3270.0,4.88,-2.359,0.18,0.21,0
GJ 1148 b,41.38,0.166,0.38,96.7,11.9,0.315,,,11.02,3264.0,,-1.699,0.35,0.4,0
GJ 1148 c,532.58,0.912,0.342,68.06,9.71,0.409,,,11.02,3264.0,,-1.699,0.35,0.4,0
GJ 1214 b,1.58040456,0.01411,0.0,6.26125,2.847,1.49,547.0,,12.95,3026.0,4.94,-2.312,0.15,0.22,0
GJ 1265 b,3.6511,0.026,0.04,7.4,2.63,2.24,,,10.26,3236.0,5.09,-2.439,0.18,0.19,0
GJ 143 b,35.589,0.1932,0.325,30.63,6.07,0.753,,,16.33,4628.47,4.4,-0.706,0.76,0.73,0
GJ 163 b,8.63182,0.0607,0.073,10.6,3.25,1.7,,,15.14,3500.0,,-1.708,0.4,0.43,0
GJ 163 d,603.95116,1.0304,0.373,29.4,5.92,0.779,,,15.14,3500.0,,-1.708,0.4,0.43,0
GJ 179 b,2288.0,2.41,0.21,260.61,13.9,0.533,,,12.36,3370.0,4.83,-1.796,0.36,0.38,0
GJ 273 c,4.7234,0.036467,0.17,1.18,1.06,5.44,,6.66,3.8,3382.0,,-2.056,0.29,0.29,0
GJ 3021 b,133.71,0.49,0.511,1071.04,13.1,2.62,350.0,,17.56,5540.0,4.7,-0.18,0.9,0.9,0
GJ 3138 b,1.22003,0.0197,0.19,1.78,1.18,5.95,,118.1,29.9,3717.0,,-1.347,0.68,0.5,0
GJ 3138 c,5.974,0.057,0.11,4.18,1.88,3.46,,13.9,29.9,3717.0,,-1.347,0.68,0.5,0
GJ 3138 d,257.8,0.698,0.32,10.5,3.23,1.71,,0.1,29.9,3717.0,,-1.347,0.68,0.5,0
GJ 317 b,692.0,1.15,0.11,794.5,13.3,1.86,,,15.1,3510.0,,,0.42,,0
GJ 317 c,5312.0,25.0,0.308,489.4582,13.5,1.09,,,15.1,3510.0,,,0.42,,0
GJ 328 b,4100.0,4.5,0.37,731.0,13.3,1.71,,,20.54,3900.0,,-0.993,0.69,0.67,0
GJ 3293 b,30.5987,0.14339,0.06,23.54,5.19,0.925,,1.07,20.2,3466.0,,-1.658,0.42,0.4,0
GJ 3293 c,122.6196,0.36175,0.11,21.09,4.87,1.0,,0.17,20.2,3466.0,,-1.658,0.42,0.4,0
GJ 3293 e,13.2543,0.08208,0.21,3.28,1.63,4.16,,3.34,20.2,3466.0,,-1.658,0.42,0.4,0
GJ 3323 c,40.54,0.1264,0.17,2.31,1.32,5.52,,0.17,5.32,3159.0,,-2.569,0.16,0.12,0
GJ 3341 b,14.207,0.089,0.31,6.6,2.46,2.44,,,23.16,3526.0,,-1.538,0.47,0.44,0
GJ 3470 b,3.3366496,0.0355,0.017,13.9,4.57,0.8,594.0,,25.2,3600.0,4.7,-1.538,0.54,0.55,0
GJ 3634 b,2.64561,0.0287,0.08,8.4,2.83,2.04,,,19.8,3685.02,,-1.699,0.45,0.43,0
GJ 3779 b,3.0232,0.026,0.07,8.0,2.75,2.11,,,13.75,3324.0,5.05,-2.062,0.27,0.28,0
GJ 3942 b,6.905,0.0608,0.121,7.14,2.57,2.31,590.0,,16.94,3867.0,4.65,-1.12,0.63,0.61,0
GJ 3998 b,2.64977,0.029,0.0,2.47,1.38,5.16,,,17.79,3722.0,4.77,-1.387,0.5,0.49,0
GJ 3998 c,13.74,0.089,0.049,6.26,2.38,2.55,,,17.79,3722.0,4.77,-1.387,0.5,0.49,0
GJ 4276 b,13.352,0.082,0.37,16.57,4.22,1.21,,,21.35,3387.0,4.97,-1.706,0.41,0.41,0
GJ 433 b,7.3709,0.06,0.08,6.3566,2.4,2.53,,,9.07,3461.0,4.81,-1.523,0.59,0.5,0
GJ 436 b,2.64388312,0.0291,0.13827,22.1,4.17,1.8,686.0,,9.76,3416.0,4.79,-1.585,0.47,0.46,0
GJ 504 b,,43.5,,1271.3,13.0,3.18,510.0,,17.54,6234.0,4.6,0.332,1.22,1.26,0
GJ 536 b,8.7076,0.06661,0.08,5.36,2.17,2.88,,,10.03,3685.0,4.75,-1.377,0.52,0.5,0
GJ 581 b,5.3686,0.04061,0.0,15.8,4.11,1.25,,,6.3,3660.26,,-1.886,0.31,0.29,0
GJ 581 c,12.914,0.0721,0.0,5.5,2.21,2.8,,,6.3,3660.26,,-1.886,0.31,0.29,0
GJ 581 e,3.149,0.02815,0.0,1.7,1.17,5.83,,,6.3,3660.26,,-1.886,0.31,0.29,0
GJ 625 b,14.628,0.078361,0.13,2.82,1.49,4.68,,,6.49,3499.0,4.94,-1.894,0.3,0.31,0
GJ 649 b,598.3,1.135,0.3,104.244,12.5,0.293,,,10.38,3700.0,4.81,-1.365,0.54,0.46,0
GJ 667 C b,7.2004,0.0505,0.13,5.6,2.23,2.77,,,6.8,3350.0,4.69,-1.863,0.33,,0
GJ 667 C g,256.2,0.549,0.08,4.6,1.99,3.21,,,6.8,3350.0,4.69,-1.863,0.33,,0
GJ 674 b,4.6938,0.039,0.2,11.09,3.33,1.65,,,4.55,3600.0,,-1.796,0.35,0.36,0
GJ 676 A b,1056.80005,1.82,0.33,2129.461,12.7,5.71,,,16.9,3734.0,4.62,-1.043,0.73,0.69,0
GJ 676 A c,7337.0,6.6,,2161.244,12.7,5.8,,,16.9,3734.0,4.62,-1.043,0.73,0.69,0
GJ 676 A d,3.6005,0.0413,0.262,4.4,1.93,3.36,,,16.9,3734.0,4.62,-1.043,0.73,0.69,0
GJ 676 A e,35.39,0.187,0.125,8.1,2.77,2.09,,,16.9,3734.0,4.62,-1.043,0.73,0.69,0
GJ 687 b,38.14,0.17,0.04,19.0698,4.59,1.08,,,4.55,3340.0,4.82,-1.672,0.45,0.43,0
GJ 832 b,3657.0,3.56,0.08,216.0,14.0,0.433,,,4.97,3472.0,4.7,-1.585,0.45,0.45,0
GJ 849 b,1882.0,2.35,0.04,317.83,13.8,0.665,,,8.8,3241.0,4.8,-1.523,0.65,0.53,0
GJ 86 b,15.76491,0.11,0.04,1404.8086,12.9,3.6,,,10.79,5182.0,4.63,-0.39,0.93,0.77,0
GJ 876 b,61.1166,0.208317,0.0324,723.2235,13.3,1.69,,,4.68,3129.0,,-1.907,0.32,0.3,0
GJ 876 c,30.0881,0.12959,0.25591,226.9846,14.0,0.455,,,4.68,3129.0,,-1.907,0.32,0.3,0
GJ 876 d,1.93778,0.020807,0.207,6.83,2.51,2.37,,,4.68,3129.0,,-1.907,0.32,0.3,0
GJ 876 e,124.26,0.3343,0.055,14.6,3.92,1.33,,,4.68,3129.0,,-1.907,0.32,0.3,0
GJ 96 b,73.94,0.291,0.44,19.66,4.67,1.06,,,11.94,3785.0,,-1.052,0.6,0.59,0
GJ 9827 b,1.2089802,0.01888,,3.42,1.62,4.5,1172.0,315.0,30.32,4269.0,4.65,-0.942,0.61,0.61,0
GJ 9827 c,3.648083,0.03942,,2.42,1.269,6.4,811.0,72.0,30.32,4269.0,4.65,-0.942,0.61,0.61,0
GJ 9827 d,6.201467,0.05615,,5.2,2.07,3.23,680.0,35.6,30.32,4269.0,4.65,-0.942,0.61,0.61,0
GQ Lup b,,100.0,,6356.0,33.6,0.921,2650.0,,139.0,4092.57,,-0.072,0.7,1.83,0
GSC 06214-00210 b,,320.0,,5000.0,20.176,3.35,2300.0,,145.0,4200.0,,-0.42,0.9,0.74,0
GU Psc b,,2000.0,,3591.3,14.179,6.92,1050.0,,48.0,4031.81,,,0.33,,0
