Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-1413 b,13.1829642,,,3.97,1.82,3.62,,42.83,1162.0,5196.0,4.57,-0.432,0.84,0.8,0
Kepler-1414 b,3.51576315,,,2.04,1.23,6.02,,209.46,534.0,4951.0,4.59,-0.502,0.8,0.75,0
Kepler-1415 b,0.63642408,,,2.21,1.29,5.66,,2138.08,1066.0,5267.0,4.54,-0.307,0.89,0.84,0
Kepler-1416 b,1.49514952,,,0.615,0.88,4.96,,2658.55,807.0,6019.0,4.35,0.171,1.09,1.15,0
Kepler-1417 b,20.3505213,,,0.972,1.0,5.34,,114.33,656.0,5839.0,4.43,0.348,1.02,1.02,0
Kepler-1418 b,22.4764425,,,3.39,1.66,4.07,,,499.0,4770.0,4.61,-0.616,0.77,0.72,0
Kepler-1419 b,42.5215895,,,8.55,2.86,2.01,,21.24,1444.0,5796.0,4.43,-0.011,1.01,1.01,0
Kepler-142 b,2.024152,0.032,,4.62,1.99,3.22,,1247.91,583.0,5790.0,4.26,0.086,1.06,1.27,0
Kepler-142 c,4.761702,0.057,,8.55,2.86,2.01,,399.44,583.0,5790.0,4.26,0.086,1.06,1.27,0
Kepler-142 d,41.809118,0.242,,5.31,2.16,2.9,,22.07,583.0,5790.0,4.26,0.086,1.06,1.27,0
Kepler-1420 b,6.69960006,,,2.18,1.28,5.71,,131.53,923.0,5187.0,4.57,-0.365,0.82,0.79,0
Kepler-1421 b,6.9131112,,,0.749,0.93,5.12,,649.15,675.0,6335.0,4.23,0.581,1.25,1.42,0
Kepler-1422 b,18.6051942,,,4.74,2.02,3.16,,156.9,2081.0,6194.0,4.32,0.472,1.15,1.23,0
Kepler-1423 b,23.955378,,,1.2,1.06,5.54,,,449.0,4939.0,4.59,-0.52,0.79,0.75,0
Kepler-1424 b,29.6091744,,,1.65,1.16,5.81,,,620.0,5838.0,4.39,0.271,1.02,1.07,0
Kepler-1425 b,14.4541302,,,0.779,0.94,5.15,,216.41,499.0,5718.0,4.47,0.356,0.97,0.95,0
Kepler-1426 b,14.2563227,,,3.05,1.56,4.41,,,1211.0,5831.0,4.43,0.035,1.02,1.02,0
Kepler-1427 b,0.96897238,,,1.37,1.1,5.66,,,1220.0,5793.0,4.44,0.016,1.01,1.01,0
Kepler-1428 b,10.67607169,,,3.33,1.64,4.15,,817.58,802.0,6184.0,4.28,0.871,1.28,1.36,0
Kepler-1429 b,4.48487493,,,2.21,1.29,5.66,,551.16,1156.0,5902.0,4.4,0.138,1.05,1.07,0
Kepler-143 b,16.007583,0.127,,6.39,2.41,2.51,,118.33,746.0,5848.0,4.2,0.23,1.06,1.36,0
Kepler-143 c,27.082511,0.181,,11.3,3.37,1.62,,58.7,746.0,5848.0,4.2,0.23,1.06,1.36,0
Kepler-1430 b,2.46050993,,,1.76,1.18,5.89,,,541.0,4796.0,4.62,-0.816,0.77,0.72,0
Kepler-1431 b,5.86601526,,,2.76,1.47,4.77,,469.82,1270.0,5806.0,4.42,0.238,1.03,1.03,0
Kepler-1432 b,23.9109011,,,5.56,2.22,2.79,,119.24,1552.0,6031.0,4.37,0.455,1.09,1.13,0
Kepler-1433 b,4.13592271,,,3.05,1.56,4.41,,4505.3,1328.0,6097.0,4.34,0.247,1.14,1.19,0
Kepler-1434 b,8.05333618,,,1.41,1.11,5.67,,925.29,680.0,6291.0,3.98,0.85,1.47,2.04,0
Kepler-1435 b,4.45343281,,,0.566,0.86,4.89,,893.89,681.0,6356.0,4.28,0.429,1.21,1.32,0
Kepler-1436 b,9.705716,,,2.27,1.31,5.55,,772.08,1142.0,5972.0,4.39,0.794,1.06,1.09,0
Kepler-1437 b,10.9295461,,,2.45,1.37,5.24,,307.4,1182.0,5557.0,4.51,0.316,0.93,0.9,0
Kepler-1438 b,2.31942009,,,0.779,0.94,5.15,,,866.0,5530.0,4.46,0.097,0.97,0.96,0
Kepler-1439 b,8.07392849,,,2.73,1.46,4.82,,9.08,215.0,3578.0,4.83,-1.56,0.46,0.43,0
Kepler-144 b,5.885273,0.066,,2.33,1.33,5.44,1287.0,426.72,487.0,6075.0,4.29,0.266,1.13,1.24,0
Kepler-144 c,10.104665,0.094,,2.39,1.35,5.34,1075.0,207.25,487.0,6075.0,4.29,0.266,1.13,1.24,0
Kepler-1440 b,39.859484,,,2.13,1.26,5.85,,44.73,685.0,5698.0,4.46,0.366,0.98,0.96,0
Kepler-1441 b,39.4419839,,,2.27,1.31,5.55,,33.05,751.0,5802.0,4.45,0.302,1.0,1.0,0
Kepler-1442 b,81.4162941,,,14.7,3.93,1.33,,25.97,525.0,6394.0,4.25,0.635,1.34,1.44,0
Kepler-1443 b,2.41811321,,,0.871,0.97,5.24,,2809.16,475.0,6289.0,4.3,0.539,1.19,1.27,0
Kepler-1444 b,33.42035034,,,5.39,2.18,2.86,,25.94,340.0,5810.0,4.4,-0.015,1.03,1.05,0
Kepler-1445 b,10.60052251,,,0.84,0.96,5.22,,248.55,482.0,6150.0,4.28,0.318,1.13,1.26,0
Kepler-1446 b,0.68996783,,,0.477,0.82,4.75,,1213.33,162.0,4865.0,4.6,-0.657,0.81,0.75,0
Kepler-1447 b,56.6747285,,,8.75,2.9,1.97,,10.35,871.0,5722.0,4.47,-0.06,0.97,0.95,0
Kepler-1448 b,12.27065865,,,3.22,1.61,4.24,,86.64,786.0,5774.0,4.49,-0.088,0.95,0.93,0
Kepler-1449 b,13.2274528,,,3.46,1.68,4.01,,271.88,1321.0,5979.0,4.39,0.517,1.08,1.1,0
Kepler-145 b,22.951,,0.43,37.1,2.65,11.0,,154.71,577.0,6022.0,3.95,0.635,1.28,1.98,0
Kepler-145 c,42.882,,0.11,79.4,4.32,5.41,,67.19,577.0,6022.0,3.95,0.635,1.28,1.98,0
Kepler-1450 b,54.5094166,,,3.57,1.71,3.92,,3.08,490.0,4524.0,4.63,-0.778,0.71,0.68,0
Kepler-1451 b,35.622233,,,11.2,3.35,1.64,,18.75,1159.0,5782.0,4.45,-0.157,1.0,0.99,0
Kepler-1452 b,42.913751,,,7.75,2.7,2.16,,73.5,974.0,6101.0,3.95,0.665,1.41,2.06,0
Kepler-1453 b,47.1611696,,,7.61,2.67,2.2,,11.89,1284.0,5665.0,4.48,-0.14,0.97,0.94,0
Kepler-1454 b,47.0319479,,,4.19,1.88,3.47,,9.08,795.0,5448.0,4.53,-0.278,0.9,0.86,0
Kepler-1455 b,49.276764,0.2149,,5.31,2.16,5.67,298.0,1.53,392.0,4075.0,4.68,-1.107,0.62,0.6,0
Kepler-1456 b,18.1373829,,,1.55,1.14,5.75,,8.23,379.0,4231.0,4.67,-0.997,0.64,0.62,0
Kepler-1457 b,51.1110243,,,4.62,1.99,3.22,,23.47,728.0,5866.0,4.43,0.182,1.01,1.01,0
