pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_lum,st_logg,ESI,isHabitable
K2-332 b,1,1,17.70632,,2.2,5.48,3315,0.28,0.27,-2.065,4.97,0.73,1
Kepler-155 c,1,2,52.661793,0.242,2.24,5.65,4508,0.62,0.64,-1.21,4.68,0.728511293,1
TOI-2257 b,1,1,35.189346,0.145,2.194,5.45,3430,0.31,0.33,-1.867,4.97,0.64257876,1
Kepler-443 b,1,1,177.6693,0.495,2.33,6.04,4723,0.71,0.74,-0.664,4.61,0.675651777,1
Kepler-22 b,1,1,289.863876,0.812,2.1,9.1,5596,0.87,0.86,-0.19,4.44,0.728130549,1
Kepler-1701 b,1,1,169.134,0.5608,2.222,5.57,5146,0.84,0.87,-0.351,4.53,0.731477707,1
K2-18 b,1,2,32.939623,0.1429,2.37,8.92,3457,0.41,0.36,-1.597,4.79,0.694074636,1
Kepler-1606 b,1,1,196.435224,0.6421,2.07,4.94,5422,0.86,0.9,-0.171,4.53,0.75282255,1
K2-9 b,1,1,18.4498,0.091,2.25,5.69,3390,0.31,0.3,-1.921,4.82,0.728035729,1
GJ 180 c,1,3,24.329,0.129,2.41,6.4,3371,0.41,0.43,-1.886,4.81,0.69,1
GJ 163 c,1,3,25.63058,0.1254,2.5,6.8,3500,0.41,0.4,-1.708,4.82,0.69,1
Kepler-1540 b,2,1,125.4131177,0.4426,2.49,6.76,4540,0.69,0.74,-0.818,4.63,0.656715966,1
Kepler-174 d,1,3,247.35373,0.677,2.19,5.43,4880,0.62,0.6,-0.57,4.68,0.592399872,1
HD 40307 g,1,5,197.8,0.6,2.56,7.1,4956,0.72,0.77,-0.639,4.47,0.66,1
Kepler-296 f,2,5,63.33627,0.255,1.8,3.89,3740,0.48,0.5,-1.569,4.77,0.667172207,1
HIP 38594 b,1,2,60.722,0.256,2.77,8.1,4086.3,0.63,0.61,-1.062,4.63,0.65,1
K2-288 B b,2,1,31.393463,0.164,1.9,4.27,3341,0.32,0.33,-1.93,4.96,0.65,1
HD 216520 c,1,2,154.43,0.528,3.03,9.44,5103,0.76,0.82,-0.452,4.54,0.63,1
GJ 3293 d,1,4,48.1345,0.19394,2.67,7.6,3466,0.4,0.42,-1.658,4.78,0.573836314,1
LHS 1140 b,1,2,24.73694,0.0957,1.635,6.38,2988,0.21,0.19,-2.488,5.06,0.631134325,1
GJ 357 d,1,3,55.661,0.204,2.34,6.1,3505,0.34,0.34,-1.798,4.94,0.510890024,1
GJ 682 b,1,2,17.478,0.08,1.93,4.4,3028,0.3,0.27,-2.699,4.93,0.57,1
GJ 229 A c,2,2,121.93268,0.384,2.87,8.58137,3912.54,0.46,0.51,-1.222,4.69,0.56,1
GJ 514 b,1,1,140.43,0.422,2.13,5.2,3728,0.5,0.51,-1.367,4.76,0.468830684,1
GJ 180 d,1,3,106.3,0.309,2.66,7.56,3811.5,0.41,0.43,-1.609,4.81,0.48,1
TOI-700 e,1,4,27.80978,0.134,0.953,0.818,3459,0.42,0.42,-1.64,4.81,0.970205261,0
Kepler-438 b,1,1,35.23319,0.166,1.12,1.46,3748,0.52,0.54,-1.357,4.74,0.958747656,0
Kepler-1512 b,1,1,20.35972599,0.1097,1.18,1.76,4372,0.67,0.73,-1.695,4.64,0.918352353,0
Kepler-138 e,1,4,38.23,0.1803,0.797,0.43,3841,0.54,0.54,-1.252,4.71,0.883783312,0
Kepler-1649 b,1,2,8.689099,0.0514,1.017,1.03,3240,0.23,0.2,-2.287,5,0.831780797,0
TRAPPIST-1 c,1,7,2.421937,0.0158,1.097,1.308,2566,0.12,0.09,-3.257,5.24,0.828734077,0
K2-72 c,1,4,15.189034,0.078,1.16,1.65,3360.47,0.33,0.27,-1.837,5.05,0.825360247,0
K2-3 d,1,3,44.556456,0.2097,1.62,1.6,3835,0.6,0.62,-1.15,4.69,0.823203314,0
Kepler-395 c,1,2,34.989262,0.177,1.32,2.3,4262,0.56,0.62,-1.194,4.73,0.818906912,0
Kepler-1126 c,1,2,199.66876,0.6193,1.45,2.7,5678,0.92,0.79,-0.099,4.41,0.805725519,0
TOI-2285 b,1,1,27.26955,0.1363,1.74,19.5,3491,0.46,0.45,-1.542,4.77,0.804108877,0
TOI-1452 b,2,1,11.06201,0.061,1.672,4.82,3185,0.28,0.25,-2.155,4.95,0.796851746,0
K2-133 e,1,4,26.5841,0.1346,1.73,3.64,3655,0.46,0.46,-1.479,4.77,0.786938916,0
Kepler-1389 b,1,1,99.2530951,0.3869,1.77,3.78,5078,0.74,0.81,-0.534,4.61,0.774068966,0
GJ 3323 b,1,2,5.3636,0.03282,1.23,2.02,3159,0.12,0.16,-2.569,,0.769444377,0
K2-155 d,1,3,40.718,0.1937,1.9,4.27,4258,0.58,0.65,-1.229,4.6,0.769016222,0
YZ Cet d,1,3,4.65626,0.02851,1.03,1.09,3151,0.16,0.14,-2.659,5.17,0.766617452,0
TOI-1266 c,1,2,18.80151,0.1058,1.56,2.2,3600,0.42,0.45,-1.58,4.85,0.761633374,0
Kepler-1582 b,1,1,4.83817712,0.0316,1.49,2.83,3208,0.3,0.28,-2.389,4.93,0.749250179,0
Wolf 1069 b,1,1,15.564,0.0672,1.08,1.26,3158,0.18,0.17,-2.531,4.93,0.748523617,0
Kepler-1455 b,1,1,49.276764,0.2149,2.16,5.31,4075,0.6,0.62,-1.141,4.68,0.737158508,0
Kepler-235 e,1,4,46.183669,0.213,2.22,5.56,4255,0.55,0.58,-1.102,4.73,0.73196617,0
Kepler-61 b,1,1,59.87756,0.24861,2.15,5.27,4017,0.62,0.64,-0.971,4.67,0.730824401,0
Kepler-560 b,2,1,18.47764449,0.0899,1.72,3.61,3556,0.33,0.34,-1.717,4.94,0.723598962,0
Kepler-54 c,1,3,12.0717249,0.0809,1.23,19.8,3705,0.5,0.51,-1.301,4.75,0.717691873,0
Kepler-1816 b,1,1,91.50099945,0.3648,1.968,4.53,5051,0.71,0.79,-0.531,4.63,0.717275522,0
GJ 3929 c,1,2,15.04,0.081,2.26,5.71,3384,0.32,0.31,-1.963,4.89,0.716814046,0
TOI-715 b,1,1,19.288004,0.083,1.55,3.02,3075,0.24,0.23,-2.309,5,0.715153872,0
Kepler-439 b,1,1,178.1396,0.563,2.24,5.65,5431,0.87,0.88,-0.236,4.51,0.710109089,0
Kepler-1090 b,1,2,198.680179,0.6364,2.25,5.69,5321,0.82,0.86,-0.146,4.55,0.708854933,0
Kepler-1040 b,1,1,201.1214,0.6559,2.08,4.98,5694,0.96,0.98,-0.044,4.47,0.708026753,0
Kepler-737 b,1,1,28.59915399,0.1422,1.96,4.5,3813,0.48,0.51,-1.301,4.77,0.707620109,0
TOI-1468 c,1,2,15.532482,,2.064,6.64,3496,0.34,0.34,-1.797,5,0.707520455,0
K2-125 b,1,1,21.750264,0.121,2.18,5.39,3654.47,0.4,0.49,-1.641,4.83,0.705179115,0
Kepler-69 c,1,2,242.4613,0.64,1.71,3.57,5638,0.93,0.81,-0.097,4.4,0.703126135,0
GJ 251 b,1,1,14.238,0.0818,1.83,4,3451,0.36,0.36,-1.772,4.96,0.703116908,0
Kepler-437 b,1,1,66.65062,0.288,2.14,5.22,4551,0.68,0.71,-0.762,4.63,0.698080529,0
TOI-712 d,1,3,84.8396,0.3405,2.474,6.68,4622,0.67,0.73,-0.728,4.65,0.694597714,0
Kepler-26 e,1,4,46.827915,0.22,2.41,6.39,4486,0.57,0.62,-1.06,4.73,0.694542304,0
Kepler-1052 c,1,2,180.921729,0.6135,2.3,5.9,5818,0.85,0.94,-0.047,4.55,0.693633691,0
GJ 411 b,1,2,12.9394,0.07879,1.45,2.69,3719,0.37,0.39,-1.71,4.9,0.692679082,0
Kepler-991 b,1,1,82.5342519,0.3104,2.54,6.99,4392,0.61,0.64,-0.831,4.67,0.692379749,0
Kepler-446 d,1,3,5.148921,0.0403,1.35,2.39,3359,0.24,0.22,-2.248,5.03,0.686723719,0
Kepler-298 d,1,3,77.473633,0.305,2.5,6.8,4465,0.58,0.66,-0.733,4.71,0.68595341,0
Kepler-1549 b,1,1,214.886545,0.6687,2.57,7.13,5324,0.84,0.88,-0.273,4.54,0.684978715,0
Kepler-1552 b,1,1,184.771853,0.6045,2.47,6.66,5202,0.78,0.85,-0.201,4.58,0.68167998,0
Kepler-1545 b,1,1,163.692349,0.5442,2.7,7.75,5201,0.8,0.84,-0.277,4.57,0.674872572,0
Kepler-1539 b,1,1,133.3036741,0.4765,2.7,7.75,5176,0.8,0.84,-0.426,4.57,0.671223751,0
Kepler-1459 b,1,1,62.8691611,0.2829,1.36,2.42,4828,0.74,0.78,-0.523,4.61,0.669915782,0
Kepler-1450 b,1,1,54.5094166,0.2401,1.71,3.57,4524,0.68,0.71,-0.768,4.63,0.669494951,0
Kepler-186 e,1,5,22.407704,0.11,1.27,2.15,3788,0.47,0.48,-1.385,4.77,0.669216912,0
Kepler-1362 b,1,1,136.205626,0.4626,2.6,7.27,4857,0.74,0.8,-0.601,4.6,0.668755112,0
Kepler-1020 b,1,1,96.9151496,0.3878,2.28,5.82,5227,0.8,0.87,-0.436,4.57,0.666636254,0
Kepler-896 b,1,2,144.547396,0.5164,2.53,6.94,5262,0.81,0.84,0.481,4.56,0.666014332,0
Kepler-138 d,1,4,23.0923,0.1288,1.51,2.1,3841,0.54,0.54,-1.252,4.71,0.664812421,0
Kepler-1840 b,1,1,131.1900024,0.4644,2.778,8.13,4898,0.8,0.77,-0.587,4.52,0.664373839,0
GJ 1061 b,1,3,3.204,0.021,1.1,1.37,2953,0.16,0.12,-2.77,5.16,0.664141319,0
Kepler-1996 c,1,2,92.7297248,0.3608,2.81,8.3,4580,0.68,0.75,-0.657,4.64,0.664042123,0
Kepler-436 b,1,2,64.00205,0.339,2.73,7.9,4651,0.7,0.73,-0.701,4.62,0.663291692,0
Kepler-196 d,1,3,122.0800018,0.4484,2.661,7.56,5132,0.77,0.81,-0.393,4.57,0.6627711,0
Kepler-367 c,1,2,53.578637,0.253,1.2,1.87,4710,0.69,0.68,-0.617,4.63,0.662566878,0
