pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,ESI,isHabitable
Teegarden's Star b,4.91,0.0252,1.02,1.05,0.11,0.09,-3.137,0.940170595,1
TOI-700 d,37.42396,0.1633,1.073,1.25,0.42,0.42,-1.64,0.834689375,1
Kepler-1649 c,19.53527,0.0649,1.06,1.2,0.23,0.2,-2.287,0.794303986,1
TRAPPIST-1 d,4.049219,0.02227,0.788,0.388,0.12,0.09,-3.257,0.889599415,1
LP 890-9 c,8.457463,0.03984,1.367,25.3,0.16,0.12,-2.841,0.821844982,1
Proxima Cen b,11.1868,0.04856,1.03,1.07,0.14,0.12,-2.796,0.749780245,1
K2-72 e,24.158868,0.106,1.29,2.21,0.33,0.27,-1.837,0.900026972,1
GJ 1002 b,10.3465,0.0457,1.03,1.08,0.14,0.12,-2.852,0.759196695,1
GJ 1061 d,13.031,0.054,1.16,1.64,0.16,0.12,-2.77,0.720640726,1
GJ 1061 c,6.689,0.035,1.18,1.74,0.16,0.12,-2.77,0.940766848,1
Ross 128 b,9.8658,0.0496,1.11,1.4,0.2,0.17,-2.441,0.962812179,1
GJ 273 b,18.6498,0.091101,1.51,2.89,0.29,0.29,-2.056,0.831562019,1
Kepler-296 e,34.14211,0.169,1.53,2.96,0.48,0.5,-1.569,0.85134411,1
TRAPPIST-1 e,6.101013,0.02925,0.92,0.692,0.12,0.09,-3.257,0.748268433,1
Kepler-442 b,112.3053,0.409,1.34,2.36,0.6,0.61,-0.932,0.734084311,1
GJ 667 C f,39.026,0.156,1.45,2.7,,0.33,-1.863,0.74,1
Kepler-62 f,267.291,0.718,1.41,35,0.64,0.69,-0.678,0.640871223,1
TRAPPIST-1 f,9.20754,0.03849,1.045,1.039,0.12,0.09,-3.257,0.594881425,1
Teegarden's Star c,11.409,0.0443,1.04,1.11,0.11,0.09,-3.137,0.594942985,1
Kepler-1229 b,86.828989,0.3006,1.4,2.54,0.51,0.54,-1.533,0.662599261,1
Kepler-186 f,129.9441,0.432,1.17,1.71,0.52,0.54,-1.26,0.544935852,1
GJ 667 C e,62.24,0.213,1.45,2.7,,0.33,-1.863,0.6,1
