pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,ESI,isHabitable
15.532482,0,2.064,6.64,0.34,0.34,-1.797,0.707520455,0
21.750264,0.121,2.18,5.39,0.4,0.49,-1.641,0.705179115,0
242.4613,0.64,1.71,3.57,0.93,0.81,-0.097,0.703126135,0
14.238,0.0818,1.83,4,0.36,0.36,-1.772,0.703116908,0
66.65062,0.288,2.14,5.22,0.68,0.71,-0.762,0.698080529,0
84.8396,0.3405,2.474,6.68,0.67,0.73,-0.728,0.694597714,0
46.827915,0.22,2.41,6.39,0.57,0.62,-1.06,0.694542304,0
180.921729,0.6135,2.3,5.9,0.85,0.94,-0.047,0.693633691,0
12.9394,0.07879,1.45,2.69,0.37,0.39,-1.71,0.692679082,0
82.5342519,0.3104,2.54,6.99,0.61,0.64,-0.831,0.692379749,0
5.148921,0.0403,1.35,2.39,0.24,0.22,-2.248,0.686723719,0
77.473633,0.305,2.5,6.8,0.58,0.66,-0.733,0.68595341,0
214.886545,0.6687,2.57,7.13,0.84,0.88,-0.273,0.684978715,0
184.771853,0.6045,2.47,6.66,0.78,0.85,-0.201,0.68167998,0
163.692349,0.5442,2.7,7.75,0.8,0.84,-0.277,0.674872572,0
133.3036741,0.4765,2.7,7.75,0.8,0.84,-0.426,0.671223751,0
62.8691611,0.2829,1.36,2.42,0.74,0.78,-0.523,0.669915782,0
54.5094166,0.2401,1.71,3.57,0.68,0.71,-0.768,0.669494951,0
22.407704,0.11,1.27,2.15,0.47,0.48,-1.385,0.669216912,0
136.205626,0.4626,2.6,7.27,0.74,0.8,-0.601,0.668755112,0
96.9151496,0.3878,2.28,5.82,0.8,0.87,-0.436,0.666636254,0
144.547396,0.5164,2.53,6.94,0.81,0.84,0.481,0.666014332,0
23.0923,0.1288,1.51,2.1,0.54,0.54,-1.252,0.664812421,0
131.1900024,0.4644,2.778,8.13,0.8,0.77,-0.587,0.664373839,0
3.204,0.021,1.1,1.37,0.16,0.12,-2.77,0.664141319,0
92.7297248,0.3608,2.81,8.3,0.68,0.75,-0.657,0.664042123,0
64.00205,0.339,2.73,7.9,0.7,0.73,-0.701,0.663291692,0
122.0800018,0.4484,2.661,7.56,0.77,0.81,-0.393,0.6627711,0
53.578637,0.253,1.2,1.87,0.69,0.68,-0.617,0.662566878,0
