"","rowid","pl_controvflag","pl_pnum","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_orbsmaxlim","pl_radj","pl_radjerr1","pl_radjerr2","pl_radjlim","pl_ttvflag","pl_kepflag","pl_k2flag","pl_nnotes","ra","dec","st_dist","st_disterr1","st_disterr2","st_distlim","st_optmag","st_optmaglim","gaia_gmag","gaia_gmaglim","st_teff","st_tefferr1","st_tefferr2","st_tefflim","st_mass","st_masserr1","st_masserr2","st_masslim","st_rad","st_raderr1","st_raderr2","st_radlim","pl_tranflag","pl_rvflag","pl_imgflag","pl_astflag","pl_omflag","pl_cbflag","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim","pl_rads","pl_radserr1","pl_radserr2","pl_radslim","pl_trandur","pl_trandurerr1","pl_trandurerr2","pl_trandurlim","pl_tranmid","pl_tranmiderr1","pl_tranmiderr2","pl_tranmidlim","pl_ratrorlim","pl_disc","pl_status","pl_mnum","pl_st_npar","pl_st_nref","st_rah","st_glon","st_glat","st_elon","st_elat","st_plxlim","gaia_plx","gaia_plxerr1","gaia_plxerr2","gaia_plxlim","gaia_dist","gaia_disterr1","gaia_disterr2","gaia_distlim","st_pmra","st_pmraerr","st_pmralim","st_pmdec","st_pmdecerr","st_pmdeclim","st_pm","st_pmerr","st_pmlim","gaia_pmra","gaia_pmraerr","gaia_pmralim","gaia_pmdec","gaia_pmdecerr","gaia_pmdeclim","gaia_pm","gaia_pmerr","gaia_pmlim","st_logg","st_loggerr1","st_loggerr2","st_logglim","st_metfe","st_metfeerr1","st_metfeerr2","st_metfelim","st_nts","st_nplc","st_nglc","st_nrvc","st_naxa","st_nimg","st_nspec","st_j","st_jerr","st_jlim","st_h","st_herr","st_hlim","st_k","st_kerr","st_klim","st_wise1","st_wise1err","st_wise1lim","st_wise2","st_wise2err","st_wise2lim","st_wise3","st_wise3err","st_wise3lim","st_wise4","st_wise4lim","st_photn","st_jmh2","st_jmh2err","st_jmh2lim","st_hmk2","st_hmk2err","st_hmk2lim","st_jmk2","st_jmk2err","st_jmk2lim","st_colorn"
"1",1,0,1,326.03,0.32,-0.32,0,0,0.56,2.346,-2.9,0,0,0,0,0,185.179276,17.792868,93.37,1.92,-1.92,0,4.74,0,4.372,0,4742,100,-100,0,2.7,0.3,-0.3,0,19,2,-2,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.675962,7e-05,-0.002896,NA,2454576.2156,0.0135,-0.00278,NA,NA,2007,3,0,27,19,12.34528503,264.140892,78.280522,177.422388,18.333765,0,10.71,0.22,-0.22,0,93.37,1.92,-1.92,0,-109.2,0.3,0,88.2,0.3,0,140.4,0.3,0,-109.2,0.3,0,88.2,0.3,0,140.4,0.3,0,2.31,0.1,-0.1,0,-0.35,0.09,-0.09,0,3,0,1,2,0,3,0,2.943,0.334,0,2.484,0.268,0,2.282,0.346,0,0.639,0.507,-1,0.732,0.319,-1,2.358,0.01,0,2.27,0,20,0.459,0.428,0,0.202,0.438,0,0.661,0.481,0,7
"2",2,0,1,516.21997,3.2,-3.2,0,0,0.867,4.87,-0.013,0,0,0,0,0,229.274536,71.823898,125.72,1.97,-1.97,0,5.016,0,4.5,0,4213,46,-46,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.958,0.002167,-0.0013,0,2458210.8398,0.00342,-4.6e-05,0,0,2009,3,0,35,18,15.28496908,108.718982,41.044516,141.647144,74.958184,0,7.95,0.12,-0.12,0,125.72,1.97,-1.97,0,3.4,0.2,0,10.1,0.2,0,10.7,0.2,0,3.4,0.2,0,10.1,0.2,0,10.7,0.2,0,1.93,0.07,-0.07,0,-0.02,0.12,-0.12,0,2,0,1,1,0,3,0,2.876,0.23,0,2.091,0.194,0,1.939,0.27,0,-0.29,0.492,-1,0.143,0.408,-1,1.894,0.012,0,1.787,0,17,0.785,0.301,0,0.152,0.332,0,0.937,0.355,0,5
"3",3,0,1,185.84,0.23,-0.23,0,0,0.995,2.7,-0.124,0,0,0,0,0,352.822571,39.236198,75.59,0.71,-0.71,0,5.227,0,4.872,0,4813,20,-20,0,2.2,0.1,-0.2,0,11,1,-1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6542,0.0019,-0.0022,NA,2454743.0419,0.00969,-0.00472,NA,NA,2008,3,0,30,22,23.52150472,106.411558,-21.05061,11.962116,38.229937,0,13.23,0.12,-0.12,0,75.59,0.71,-0.71,0,287.3,0.2,0,-83.8,0.1,0,299.3,0.2,0,287.3,0.2,0,-83.8,0.1,0,299.3,0.2,0,2.63,0.07,-0.07,0,-0.24,0.03,-0.03,0,2,0,1,1,0,3,0,3.019,0.18,0,2.608,0.184,0,2.331,0.24,0,1.592,0.481,-1,2.545,0.524,0,2.719,0.016,0,2.719,0,21,0.411,0.257,0,0.277,0.302,0,0.688,0.3,0,7
"4",4,0,1,1773.40002,2.5,-2.5,0,0,0.178,0.028,-0.029,0,0,0,0,0,242.601303,43.817646,17.94,0.01,-0.01,0,6.61,0,6.379,0,5338,25,-25,0,0.9,0.04,-0.04,0,0.93,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.55875,0.003879,-0.003,0,2454923.9138,0.00381,-0.00698,0,0,2002,3,0,79,37,16.17342021,69.170376,46.944999,223.248728,62.879798,0,55.74,0.02,-0.02,0,17.94,0.01,-0.01,0,132,0,0,-296.5,0,0,324.5,0,0,132,0,0,-296.5,0,0,324.5,0,0,4.45,0.02,-0.02,0,0.41,0.2,-0.163,0,5,0,1,4,0,4,1,5.158,0.029,0,4.803,0.016,0,4.714,0.016,0,4.676,0.173,0,4.543,0.086,0,4.721,0.014,0,4.674,0,25,0.355,0.033,0,0.089,0.023,0,0.444,0.033,0,9
"5",5,0,1,798.5,1,-1,0,0,1.13,0.017,-0.008,0,0,0,0,0,295.466553,50.517525,21.41,0.23,-0.23,0,6.25,0,6.057,0,5750,8,-8,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.3655,0.0044583,-0.0034,0,2454743.0419,0.00349,-0.00318,0,0,1996,3,0,77,40,19.69777018,83.33646,13.204352,321.21805,69.468372,0,47.28,0.02,-0.02,0,21.15,0.01,-0.01,0,-134.8,0,0,-162.5,0,0,211.1,0,0,-134.8,0,0,-162.5,0,0,211.1,0,0,4.36,0.01,-0.01,0,0.06,0.08,-0.08,0,5,0,1,4,0,4,3,4.993,0.037,0,4.695,0.036,0,4.651,0.016,0,4.773,0.236,0,4.568,0.106,0,4.926,0.033,0,4.713,0,28,0.298,0.052,0,0.044,0.039,0,0.342,0.04,0,17
"6",6,0,1,993.3,3.2,-3.2,0,0,0.93,0.07,-0.07,0,0,0,0,0,314.608063,10.839286,76.38,0.62,-0.62,0,5.506,0,5.244,0,4979,18,-18,0,2.3,0.08,NA,0,8.5,0.35,-0.51,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.958,0.003654,-0.00612,NA,2454573.6299,0.00588,-0.00679,NA,NA,2008,3,0,28,20,20.97387085,58.691434,-21.974824,320.591213,26.786858,0,13.09,0.11,-0.11,0,76.38,0.62,-0.62,0,-50,0.1,0,-34.2,0.2,0,60.6,0.2,0,-50,0.1,0,-34.2,0.2,0,60.6,0.2,0,2.82,0.06,-0.06,0,-0.052,0.023,-0.023,0,2,0,1,1,0,3,0,4.032,0.236,0,3.44,0.186,0,3.366,0.204,0,3.37,0.373,0,2.931,0.416,0,3.355,0.013,0,3.308,0,18,0.592,0.3,0,0.074,0.276,0,0.666,0.312,0,5
"7",7,0,1,18000,NA,NA,0,0,1.35,0.21,-0.21,0,0,0,0,0,242.376268,-21.083036,145,14,-14,0,12.85,NA,12.057,0,4060,300,-200,0,0.85,0.2,-0.1,0,0.78,0.5,-0.35,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.503,0.003462,-0.0095833,NA,2456285.90993,0.0105,-0.00327,NA,NA,2008,3,0,28,8,16.15841787,352.89056,22.030427,244.365684,-0.06841,0,7.16,0.07,-0.07,0,139.67,1.32,-1.32,0,-10.3,0.1,0,-23.2,0.1,0,25.4,0.1,0,-10.3,0.1,0,-23.2,0.1,0,25.4,0.1,0,4.69,0.25,-0.28,NA,0,0.052,-0.05,NA,0,0,0,0,0,3,0,9.82,0.027,0,9.121,0.023,0,8.916,0.021,0,8.794,0.022,0,8.79,0.02,0,8.684,0.028,0,8.531,0,8,0.699,0.035,0,0.205,0.031,0,0.904,0.034,0,3
"8",8,0,1,30.3506,0.0078,-0.0077,0,0,0.96,2.7,-0.013,0,0,0,0,0,217.157547,49.844852,96.25,0.64,-0.64,0,5.58,0,5.305,0,4893,15,-15,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.3128,0.0035,-0.01,0,2455914.1628,0.00221,-0.00291,0,0,2018,3,0,17,14,14.4771698,90.162223,60.643666,185.925162,58.888907,0,10.39,0.07,-0.07,0,96.25,0.64,-0.64,0,-304.1,0.1,0,-46.8,0.1,0,307.6,0.1,0,-304.1,0.1,0,-46.8,0.1,0,307.6,0.1,0,2.42,0.1,-0.1,0,-0.77,0.03,-0.03,0,1,0,1,0,0,3,0,3.845,0.24,0,3.34,0.19,0,3.159,0.28,0,12.447,0.088,0,12.749,0.048,0,12.527,0.499,-1,8.951,-1,14,0.505,0.306,0,0.181,0.338,0,0.686,0.369,0,6
"9",9,0,2,452.8,2.1,-4.5,0,0,0.17,0.021,-0.016,0,0,0,0,0,155.86821,-0.902244,72.21,0.68,-0.68,0,6.441,0,6.198,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999654,0.0033,-0.0053,NA,2455733.013,6e-04,-0.000831,NA,NA,2010,3,0,21,17,10.39121399,245.085309,44.715734,157.99359,-10.198148,0,13.85,0.13,-0.13,0,72.21,0.68,-0.68,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,3.5,0.1,-0.1,0,-0.03,0.04,-0.04,0,3,0,1,2,0,3,1,5.292,0.338,0,4.486,0.076,0,4.285,0.016,0,4.094,0.327,0,3.598,0.156,0,4.254,0.015,0,4.201,0,17,0.806,0.346,0,0.201,0.078,0,1.007,0.338,0,8
"10",10,0,2,883,32.4,-13.8,0,0,0.17,0.032,-0.021,0,0,0,0,0,155.86821,-0.902244,72.21,0.68,-0.68,0,6.441,0,6.198,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7915833,0.0045,-0.0045833,NA,2455392.31659,9.7e-05,-0.00126,NA,NA,2010,3,0,21,17,10.39121399,245.085309,44.715734,157.99359,-10.198148,0,13.85,0.13,-0.13,0,72.21,0.68,-0.68,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,65.2,0.2,0,-36.3,0.2,0,74.6,0.2,0,3.5,0.1,-0.1,0,-0.03,0.04,-0.04,0,3,0,1,2,0,3,1,5.292,0.338,0,4.486,0.076,0,4.285,0.016,0,4.094,0.327,0,3.598,0.156,0,4.254,0.015,0,4.201,0,17,0.806,0.346,0,0.201,0.078,0,1.007,0.338,0,8
"11",11,0,1,170000,NA,NA,0,0,2.2,0.047,-0.056,0,0,0,0,0,20.712243,-24.664049,36,4,-4,0,14.24,0,12.903,0,3530,50,-50,0,0.4,0.05,-0.05,0,0.77,0.55,-0.36,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.505296,0.0041,-0.002,NA,2455901.811,0.00954,-0.0042,NA,NA,2013,3,0,9,6,1.3808162,195.448768,-82.520165,8.622413,-30.711243,0,29.53,0.07,-0.07,0,33.86,0.09,-0.09,0,120.5,0.2,0,-123.4,0.1,0,172.4,0.2,0,120.5,0.2,0,-123.4,0.1,0,172.4,0.2,0,4.28,0.22,-0.22,NA,-0.07,0.08,-0.082,NA,0,0,0,0,0,3,0,10.084,0.026,0,9.47,0.021,0,9.198,0.024,0,9.022,0.023,0,8.857,0.019,0,8.747,0.031,0,8.298,0,9,0.614,0.033,0,0.272,0.032,0,0.886,0.035,0,3
"12",12,0,1,18000,NA,NA,0,0,1.44,0.03,-0.03,0,0,0,0,0,34.842106,-39.422928,39.4,2.6,-2.6,0,15.829,NA,15.012,0,3064,76,-76,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,0,0,1,0,0,0,16.141,0.336,-0.336,0,0.148,0.003,-0.003,0,0.46587,0.0033,-0.002,NA,2455852.10326,0.00022,-0.00127,NA,NA,2015,3,0,10,5,2.32280707,252.453768,-67.984453,13.508497,-49.30478,0,24.94,0.12,-0.12,0,40.09,0.19,-0.19,0,103.6,0.1,0,-35.9,0.1,0,109.6,0.1,0,103.6,0.1,0,-35.9,0.1,0,109.6,0.1,0,4.59,0.06,-0.06,0,0,0.115,-0.109,NA,0,0,0,0,0,3,0,11.381,0.023,0,10.811,0.026,0,10.404,0.023,0,10.148,0.023,0,9.901,0.02,0,9.614,0.037,0,9.001,-1,11,0.649,0.045,0,0.339,0.039,0,0.83,0.033,0,0
"13",13,0,1,246.36,NA,NA,0,0,0.325,0.077,-0.079,0,0,0,0,0,70.437073,23.030941,140,489.66,-200,0,17.475,NA,18.967,0,580.5,108,-108,0,0.02,0.08,NA,0,0.33,0.43,-0.41,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6720833,0.0041667,-0.00437,NA,2454795.3803,0.00039,-0.00253,NA,NA,2010,3,0,4,4,4.69580487,176.510593,-15.114249,72.050227,0.80244,0,8.3,0.38,-0.38,0,120.42,5.48,-5.48,0,9,0.9,0,-21.4,0.5,0,23.2,0.6,0,9,0.9,0,-21.4,0.5,0,23.2,0.6,0,4.78,0.24,-0.25,NA,-0.11,0.134,-0.147,NA,0,0,0,0,0,3,0,14.419,0.025,0,13.726,0.029,0,13.161,0.025,0,4.523,0.116,0,3.636,0.047,0,3.782,0.015,0,4.384,0,4,0.693,0.038,0,0.565,0.038,0,1.258,0.035,0,3
"14",14,0,1,7336.5,NA,NA,0,0,1.57,0.044,-0.046,0,0,0,0,0,181.889447,-39.548332,52.4,1.1,-1.1,0,20.15,0,17.408,0,2559,90,-64.28,0,0.02,0.02,NA,0,0.76,0.04,-0.06,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.3655,0.00646,-0.00908,NA,2455952.52603,0.0023,-0.00633,NA,NA,2004,3,0,9,8,12.12596313,293.790363,22.543297,199.743654,-35.034839,0,15.52,0.16,-0.16,0,64.42,0.65,-0.65,0,-64.1,0.2,0,-23.7,0.1,0,68.3,0.2,0,-64.1,0.2,0,-23.7,0.1,0,68.3,0.2,0,4.7,0.01,-0.01,NA,0.13,0.111,-0.11,NA,0,0,0,0,0,3,0,12.995,0.026,0,12.388,0.027,0,11.945,0.026,0,11.574,0.023,0,11.017,0.02,0,9.469,0.031,0,8.121,0,9,0.607,0.037,0,0.443,0.037,0,1.05,0.037,0,3
"15",15,0,1,416,2,-2,0,0,0.277,0.021,-0.019,0,0,1,0,0,294.635865,46.066418,396.36,6.38,-6.2,0,12.264,0,12.138,0,27500,165,-176.47,0,0.48,0.03,-0.03,0,1.4,0.04,-0.03,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.887654,0.003717,-0.00892,NA,2455256.463,0.00412,-0.0116,NA,NA,2015,3,0,11,8,19.642391,79.018713,11.674389,314.709288,65.725374,NA,2.5,0.04,-0.04,0,400.77,6.48,-6.48,0,5.2,0.1,0,-4.6,0.1,0,7,0.1,0,5.2,0.1,0,-4.6,0.1,0,7,0.1,0,4.12,0.22,-0.23,NA,-0.29,0.03,-0.03,NA,0,0,0,0,0,3,0,12.757,0.022,0,12.889,0.02,0,12.955,0.029,0,12.862,0.023,0,12.92,0.024,0,12.67,0.27,0,9.203,-1,14,-0.132,0.03,0,-0.066,0.035,0,-0.198,0.036,0,5
"16",16,0,1,7336.5,1934.5,-584,0,0,0.92,0.39,-0.36,0,0,0,0,0,325.122159,16.421759,25,10,-10,0,20.15,NA,17.396,0,2300,80,-80,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,0,1,1,0,0,0,10.31,4.37,-4.04,0,0.09,0.04,-0.04,0,0.503,0.002521,-0.0068,NA,2453142.542,0.0165,-0.00503,NA,NA,2009,3,0,11,5,21.6748106,70.485103,-26.437255,333.590507,28.526095,0,30.2,0.43,-0.43,0,33.12,0.48,-0.48,0,-77.9,0.8,0,-85.6,0.7,0,115.8,0.7,0,-77.9,0.8,0,-85.6,0.7,0,115.8,0.7,0,4.78,0.03,-0.03,NA,0.48,0.2,-0.2,NA,0,0,0,0,0,3,0,12.94,0.033,0,12.266,0.04,0,11.826,0.031,0,11.375,0.022,0,11.135,0.02,0,10.687,0.096,0,8.971,-1,8,0.674,0.052,0,0.44,0.051,0,1.114,0.045,0,3
"17",17,0,1,7665,NA,NA,0,0,0.589,0.01,-0.007,0,0,0,0,1,339.102203,47.86182,74,10,-10,0,12.51,0,11.948,0,4045,35,-35,0,0.6,0.05,-0.05,0,0.68,0.27,-0.08,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4562,0.0025,-0.00446,NA,2457083.660459,0.00176,-0.0112,NA,NA,2016,3,0,8,5,22.60681356,100.748288,-9.108906,6.858823,50.853569,0,14.34,0.03,-0.03,0,69.71,0.16,-0.16,0,62.9,0.1,0,-30.5,0.1,0,69.9,0.1,0,62.9,0.1,0,-30.5,0.1,0,69.9,0.1,0,4.62,0.02,-0.03,NA,0.08,0.1,-0.095,NA,0,0,0,0,0,3,0,9.975,0.018,0,9.338,0.019,0,9.148,0.016,0,9.058,0.023,0,9.094,0.02,0,8.947,0.027,0,8.731,0,13,0.637,0.026,0,0.19,0.025,0,0.827,0.024,0,3
"18",18,0,1,335.10001,2.5,-2.5,0,0,1.143,0.66,-0.5,0,0,0,0,0,39.240585,24.648064,44.71,0.1,-0.1,0,6.962,0,6.961,0,6331,61,-61,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,1,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.614,0.0038,-0.00046,0,2455241.28722,0.001474,-0.00065,0,0,2009,3,0,41,24,2.61603902,151.476148,-32.309491,44.567804,8.854811,0,22.36,0.05,-0.05,0,44.71,0.1,-0.1,0,141.4,0.1,0,-10.7,0.1,0,141.8,0.1,0,141.4,0.1,0,-10.7,0.1,0,141.8,0.1,0,4.43,0.05,-0.05,0,0.19,0.079,-0.1,0,2,0,1,1,0,3,0,6.08,0.02,0,5.908,0.029,0,5.822,0.021,0,5.963,0.058,0,5.669,0.024,0,5.825,0.015,0,5.679,0,20,0.172,0.035,0,0.086,0.036,0,0.258,0.029,0,8
"19",19,0,1,269.3,1.96,-1.96,0,0,0.775,0.07,-0.08,0,0,0,0,0,130.053406,64.327934,73.58,1.18,-1.18,0,4.61,0,4.16,0,4415,70,-70,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.89354,0.0052,-0.01221,NA,2457126.69913,0.00173,-0.00141,NA,NA,2006,3,0,22,18,8.67022705,151.358914,35.9569,112.813312,44.028066,0,13.59,0.22,-0.22,0,73.58,1.18,-1.18,0,-61.2,0.3,0,26.4,0.3,0,66.7,0.3,0,-61.2,0.3,0,26.4,0.3,0,66.7,0.3,0,1.8,0.15,-0.15,0,-0.25,0.04,-0.04,0,1,0,1,0,0,3,0,2.619,0.29,0,2.021,0.186,0,1.734,0.218,0,-0.342,0.492,-1,0.1,0.319,-1,1.817,0.016,0,1.755,0,20,0.598,0.345,0,0.287,0.287,0,0.885,0.363,0,7
"20",20,0,1,479.1,6.2,-6.2,0,0,1.33,4.87,-2.9,0,0,0,0,0,276.496399,65.563484,90.86,1.32,-1.32,0,4.82,0,4.364,0,4200,70,-70,0,0.98,0.05,-0.05,0,22.03,1,-1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7915833,0.0036,-0.0058,NA,2457258.79907,0.00116,-0.00556,NA,NA,2008,3,0,22,18,18.43309326,95.419171,27.125611,342.26709,87.183386,0,11.01,0.16,-0.16,0,90.86,1.32,-1.32,0,105.2,0.3,0,-25.1,0.4,0,108.2,0.3,0,105.2,0.3,0,-25.1,0.4,0,108.2,0.3,0,1.71,0.05,-0.05,0,-0.46,0.05,-0.05,0,2,0,1,1,0,3,0,2.949,0.234,0,2.197,0.196,0,2.085,0.216,0,-0.152,0.481,-1,0.372,0.524,-1,2.022,0.013,0,1.892,0,20,0.752,0.305,0,0.112,0.292,0,0.864,0.318,0,7
"21",21,0,3,1078,2,-2,0,0,0.21,0.045,-0.037,0,0,0,0,0,164.866562,40.430256,13.8,0.03,-0.03,0,5.05,0,4.831,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,0.02,-0.01,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999654,0.00079,-0.0149,NA,2454576.2156,0.00102,-0.000741,NA,NA,1996,3,0,62,42,10.99110413,175.782531,63.369127,149.069855,31.061608,0,72.45,0.15,-0.15,0,13.8,0.03,-0.03,0,-317.6,0.2,0,55,0.2,0,322.4,0.2,0,-317.6,0.2,0,55,0.2,0,322.4,0.2,0,4.27,0.1,-0.1,0,0,0.07,-0.07,0,10,0,1,9,0,4,3,3.96,0.296,0,3.736,0.224,0,3.75,0.34,0,3.556,0.353,0,3.143,0.314,0,3.586,0.015,0,3.553,0,28,0.224,0.371,0,-0.014,0.407,0,0.21,0.451,0,11
"22",22,0,3,2391,100,-87,0,0,0.359,0.056,-0.06,0,0,0,0,0,164.866562,40.430256,13.8,0.03,-0.03,0,5.05,0,4.831,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,1.1,-0.9,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.958,0.00625,-0.0029,NA,2454595.6144,0.00183,-0.00219,NA,NA,2001,3,0,48,42,10.99110413,175.782531,63.369127,149.069855,31.061608,0,72.45,0.15,-0.15,0,13.8,0.03,-0.03,0,-317.6,0.2,0,55,0.2,0,322.4,0.2,0,-317.6,0.2,0,55,0.2,0,322.4,0.2,0,4.27,0.1,-0.1,0,0,0.07,-0.07,0,10,0,1,9,0,4,3,3.96,0.296,0,3.736,0.224,0,3.75,0.34,0,3.556,0.353,0,3.143,0.314,0,3.586,0.015,0,3.553,0,28,0.224,0.371,0,-0.014,0.407,0,0.21,0.451,0,11
"23",23,0,3,14002,4018,-5095,0,0,0.294,0.024,-0.009,0,0,0,0,0,164.866562,40.430256,13.8,0.03,-0.03,0,5.05,0,4.831,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,0.06,-0.02,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.675962,0.00567,-0.002029,NA,2454715.02174,3e-04,-0.00081,NA,NA,2009,3,0,41,42,10.99110413,175.782531,63.369127,149.069855,31.061608,0,72.45,0.15,-0.15,0,13.8,0.03,-0.03,0,-317.6,0.2,0,55,0.2,0,322.4,0.2,0,-317.6,0.2,0,55,0.2,0,322.4,0.2,0,4.27,0.1,-0.1,0,0,0.07,-0.07,0,10,0,1,9,0,4,3,3.96,0.296,0,3.736,0.224,0,3.75,0.34,0,3.556,0.353,0,3.143,0.314,0,3.586,0.015,0,3.553,0,28,0.224,0.371,0,-0.014,0.407,0,0.21,0.451,0,11
"24",24,0,1,18000,NA,NA,0,0,0.85,0.011,-0.006,0,0,0,0,1,69.400551,-2.473548,29.4,0.3,-0.3,0,5.23,0,5.122,0,6576.6,80,-75.4,0,1.75,0.05,-0.05,0,0.95,0.18,-0.15,NA,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.505296,0.00429,-0.0032,NA,2457826.1739,0.0016,-0.00326,NA,NA,2015,3,0,20,24,4.62670339,198.61262,-30.657612,67.313442,-24.305028,0,33.58,0.14,-0.14,0,29.78,0.12,-0.12,0,44.4,0.2,0,-63.8,0.2,0,77.7,0.2,0,44.4,0.2,0,-63.8,0.2,0,77.7,0.2,0,4.48,0.01,-0.01,NA,-0.027,0.045,-0.045,0,1,0,1,0,0,3,0,4.744,0.037,0,4.77,0.076,0,4.537,0.024,0,4.543,0.21,0,4.31,0.117,0,4.575,0.018,0,4.39,0,31,-0.026,0.085,0,0.233,0.08,0,0.207,0.044,0,10
"25",25,0,1,4.230785,3.6e-05,-3.6e-05,0,0,1.272,0.026,-0.027,0,0,0,0,0,344.366577,20.768833,15.47,0.03,-0.03,0,5.5,0,5.256,0,5793,70,-70,0,1.12,0.06,-0.06,0,1.2,0.12,-0.07,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0963,0.00646,-0.001979,NA,2454595.6144,0.00157,-0.00062,NA,NA,1995,3,0,62,44,22.95777181,90.062611,-34.727214,354.284094,25.186477,0,64.65,0.12,-0.12,0,15.47,0.03,-0.03,0,207.4,0.2,0,62.1,0.2,0,216.5,0.2,0,207.4,0.2,0,62.1,0.2,0,216.5,0.2,0,4.33,0.1,-0.1,0,0.2,0.07,-0.07,0,6,0,1,5,0,4,4,4.655,0.296,0,4.234,0.27,0,3.911,0.021,0,3.909,0.387,0,3.624,0.246,0,3.929,0.016,0,3.904,0,24,0.421,0.401,0,0.323,0.271,0,0.744,0.297,0,20
"26",26,0,5,14.65152,0.00015,-0.00015,0,0,0.135,0.016,-0.014,0,0,0,0,0,133.149216,28.330818,12.59,0.01,-0.01,0,5.96,0,5.714,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.00521,-0.003,NA,2455983.70421,0.01006,-0.006,NA,NA,1996,3,0,110,49,8.87661438,196.794709,37.698968,127.732452,10.367085,0,79.43,0.08,-0.08,0,12.59,0.01,-0.01,0,-485.9,0.1,0,-233.7,0.1,0,539.1,0.1,0,-485.9,0.1,0,-233.7,0.1,0,539.1,0.1,0,4.45,0.01,-0.01,0,0.31,0.04,-0.04,0,10,0,1,9,0,5,11,4.768,0.244,0,4.265,0.234,0,4.015,0.036,0,4.001,0.318,0,3.296,0.174,0,4.051,0.015,0,4.014,0,30,0.503,0.338,0,0.25,0.237,0,0.753,0.247,0,11
"27",27,0,5,44.4175,0.0073,-0.0073,0,0,0.823,0.024,-0.023,0,0,0,0,0,133.149216,28.330818,12.59,0.01,-0.01,0,5.96,0,5.714,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.265283,0.002708,-0.0048,NA,2455954.58576,0.00548,-0.002866,NA,NA,2004,3,0,85,49,8.87661438,196.794709,37.698968,127.732452,10.367085,0,79.43,0.08,-0.08,0,12.59,0.01,-0.01,0,-485.9,0.1,0,-233.7,0.1,0,539.1,0.1,0,-485.9,0.1,0,-233.7,0.1,0,539.1,0.1,0,4.45,0.01,-0.01,0,0.31,0.04,-0.04,0,10,0,1,9,0,5,11,4.768,0.244,0,4.265,0.234,0,4.015,0.036,0,4.001,0.318,0,3.296,0.174,0,4.051,0.015,0,4.014,0,30,0.503,0.338,0,0.25,0.237,0,0.753,0.247,0,11
