"","rowid","pl_controvflag","pl_pnum","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_orbsmaxlim","pl_radj","pl_radjerr1","pl_radjerr2","pl_radjlim","pl_ttvflag","pl_kepflag","pl_k2flag","pl_nnotes","ra","dec","st_dist","st_disterr1","st_disterr2","st_distlim","st_optmag","st_optmaglim","gaia_gmag","gaia_gmaglim","st_teff","st_tefferr1","st_tefferr2","st_tefflim","st_mass","st_masserr1","st_masserr2","st_masslim","st_rad","st_raderr1","st_raderr2","st_radlim","pl_tranflag","pl_rvflag","pl_imgflag","pl_astflag","pl_omflag","pl_cbflag","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim","pl_rads","pl_radserr1","pl_radserr2","pl_radslim","pl_trandur","pl_trandurerr1","pl_trandurerr2","pl_trandurlim","pl_tranmid","pl_tranmiderr1","pl_tranmiderr2","pl_tranmidlim","pl_ratrorlim","pl_disc","pl_status","pl_mnum","pl_st_npar","pl_st_nref","st_rah","st_glon","st_glat","st_elon","st_elat","st_plxlim","gaia_plx","gaia_plxerr1","gaia_plxerr2","gaia_plxlim","gaia_dist","gaia_disterr1","gaia_disterr2","gaia_distlim","st_pmra","st_pmraerr","st_pmralim","st_pmdec","st_pmdecerr","st_pmdeclim","st_pm","st_pmerr","st_pmlim","gaia_pmra","gaia_pmraerr","gaia_pmralim","gaia_pmdec","gaia_pmdecerr","gaia_pmdeclim","gaia_pm","gaia_pmerr","gaia_pmlim","st_logg","st_loggerr1","st_loggerr2","st_logglim","st_metfe","st_metfeerr1","st_metfeerr2","st_metfelim","st_nts","st_nplc","st_nglc","st_nrvc","st_naxa","st_nimg","st_nspec","st_j","st_jerr","st_jlim","st_h","st_herr","st_hlim","st_k","st_kerr","st_klim","st_wise1","st_wise1err","st_wise1lim","st_wise2","st_wise2err","st_wise2lim","st_wise3","st_wise3err","st_wise3lim","st_wise4","st_wise4lim","st_photn","st_jmh2","st_jmh2err","st_jmh2lim","st_hmk2","st_hmk2err","st_hmk2lim","st_jmk2","st_jmk2err","st_jmk2lim","st_colorn"
"2844",2844,0,2,6.319,NA,NA,0,0,0.221,0.088,-0.029,0,1,1,0,1,291.556965,39.227287,711,69.19,-49.6,0,14.028,0,14.02,0,6079,80,-77.64,0,1,0.06,NA,0,1.07,0.42,-0.41,0,1,0,0,0,0,0,2.48,0.99,-0.33,0,0.023,0.009,-0.003,0,0.17108,0.0072,-0.0017,NA,2454968.04254,0.00548,-0.00238,NA,NA,2014,3,0,35,11,19.437131,71.757938,10.609373,304.804312,60.088457,0,1.42,0.02,-0.02,0,704.76,9.31,-9.31,0,-2.1,0,0,-0.8,0,0,2.2,0,0,-2.1,0,0,-0.8,0,0,2.2,0,0,4.42,0.3,-0.3,NA,0.05,0.134,-0.166,NA,0,0,0,0,0,3,0,12.874,0.025,0,12.576,0.025,0,12.51,0.027,0,12.142,0.024,0,12.038,0.02,0,11.979,0.205,0,9.233,-1,10,0.298,0.035,0,0.066,0.037,0,0.364,0.037,0,5
"2845",2845,0,2,12.209,NA,NA,0,0,0.211,0.038,-0.044,0,1,1,0,1,291.556965,39.227287,711,69.19,-49.6,0,14.028,0,14.02,0,5807,82.26,-78.82,0,1,0.16,NA,0,1.07,0.4,-0.61,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.1459,0.0105,-0.0034,NA,2455006.08263,0.000259,-0.0066,NA,NA,2014,3,0,33,11,19.437131,71.757938,10.609373,304.804312,60.088457,0,1.42,0.02,-0.02,0,704.76,9.31,-9.31,0,-2.1,0,0,-0.8,0,0,2.2,0,0,-2.1,0,0,-0.8,0,0,2.2,0,0,4.4,0.3,-0.3,NA,0.09,0.152,-0.158,NA,0,0,0,0,0,3,0,12.874,0.025,0,12.576,0.025,0,12.51,0.027,0,5.896,0.089,0,5.42,0.032,0,6.002,0.015,-1,5.406,0,10,0.298,0.035,0,0.066,0.037,0,0.364,0.037,0,5
"2846",2846,0,2,12.331,NA,NA,0,0,0.206,0.077,-0.015,0,1,1,0,1,293.824314,42.779705,981,62.1,-55.63,0,15.886,0,15.866,0,5333,100,-99,0,0.9,0.02,NA,0,0.81,0.06,-0.06,0,1,0,0,0,0,0,2.31,0.86,-0.17,0,0.021,0.008,-0.002,0,0.103863,0.00091,-0.008,NA,2454974.376,0.00223,-0.047,NA,NA,2014,3,0,35,12,19.5882876,75.768894,10.687347,310.603575,62.900313,0,1,0.05,-0.05,0,999.47,47.21,-47.21,0,-16.9,0.1,0,-9.6,0.1,0,19.4,0.1,0,-16.9,0.1,0,-9.6,0.1,0,19.4,0.1,0,4.55,0.3,-0.3,NA,0.12,0.147,-0.15,NA,0,0,0,0,0,3,0,14.426,0.032,0,13.958,0.037,0,13.922,0.058,0,13.719,0.027,0,13.748,0.031,0,12.541,0.344,-1,9.393,-1,14,0.468,0.049,0,0.036,0.069,0,0.504,0.066,0,5
"2847",2847,0,2,15.943,NA,NA,0,0,0.304,0.05,-0.05,0,1,1,0,1,293.824314,42.779705,981,62.1,-55.63,0,15.886,0,15.866,0,5622,101.62,-100,0,0.9,0.03,NA,0,0.81,0.02,-0.04,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.09321,0.0032,-0.00059,NA,2455011.44948,0.00109,-0.00264,NA,NA,2014,3,0,33,12,19.5882876,75.768894,10.687347,310.603575,62.900313,0,1,0.05,-0.05,0,999.47,47.21,-47.21,0,-16.9,0.1,0,-9.6,0.1,0,19.4,0.1,0,-16.9,0.1,0,-9.6,0.1,0,19.4,0.1,0,4.55,0.04,-0.08,NA,0,0.112,-0.1,NA,0,0,0,0,0,3,0,14.426,0.032,0,13.958,0.037,0,13.922,0.058,0,13.719,0.027,0,13.748,0.031,0,12.541,0.333,-1,9.393,-1,14,0.468,0.049,0,0.036,0.069,0,0.504,0.066,0,5
"2848",2848,0,1,86.67856,7e-05,-7e-05,0,0,1.2,0.16,-0.16,0,0,1,0,1,294.433512,38.35545,1017,127.68,-84.04,0,14.696,0,14.649,0,5820,100,-100,0,0.98,0.08,-0.08,0,1.09,0.14,-0.14,0,1,1,0,0,0,0,13.45,1.79,-1.79,0,0.123,0.016,-0.016,0,0.426,0.0018,-0.0018,0,2455008.5975,0.00066,-0.00066,0,0,2014,3,0,59,14,19.62890079,72.017873,8.217605,308.471563,58.575117,0,0.97,0.02,-0.02,0,1031.92,21.15,-21.15,0,1.6,0,0,5.6,0,0,5.8,0,0,-0.8,0,0,2.6,0,0,2.7,0,0,4.35,0.1,-0.1,0,-0.05,0.1,-0.1,0,0,0,0,0,0,3,0,13.493,0.024,0,13.243,0.031,0,13.103,0.034,0,13.093,0.026,0,13.148,0.027,0,12.721,0.415,0,9.311,-1,14,0.25,0.039,0,0.14,0.046,0,0.39,0.042,0,5
"2849",2849,0,2,69.7546,7e-04,-9e-04,0,0,0.96,0.12,-0.12,0,1,1,0,1,295.417899,51.184765,872,70.19,-56.75,0,13.005,0,12.964,0,6430,79,-79,0,1.39,0.08,-0.07,0,1.74,0.07,-0.07,0,1,1,0,0,0,0,10.8,1.4,-1.3,0,0.099,0.013,-0.012,0,0.5939,0.003863,-0.00937,NA,2456465.7544,0.00265,-0.00358,NA,0,2014,3,0,58,13,19.6945266,83.934547,13.532328,322.094292,70.063631,0,0.96,0.02,-0.02,0,1041.31,26.1,-26.1,0,-0.1,0,0,-1.3,0,0,1.3,0,0,-0.1,0,0,-1.3,0,0,1.3,0,0,4.1,0.12,-0.12,0,0.176,0.07,-0.07,0,0,0,0,0,0,3,0,12.088,0.02,0,11.899,0.019,0,11.859,0.018,0,11.829,0.023,0,11.851,0.021,0,11.815,0.151,0,9.56,-1,14,0.189,0.028,0,0.04,0.026,0,0.229,0.027,0,5
"2850",2850,0,2,675.47,0.11,-0.11,0,0,0.1,0.032,-0.034,0,0,1,0,0,295.417899,51.184765,872,70.19,-56.75,0,13.005,0,12.964,0,6430,79,-79,0,1.39,0.08,-0.07,0,1.74,0.07,-0.07,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.673892,0.001088,-0.006,NA,2455109.73122,0.00104,-0.00019,NA,NA,2014,3,0,35,12,19.6945266,83.934547,13.532328,322.094292,70.063631,0,0.96,0.02,-0.02,0,1041.31,26.1,-26.1,0,-0.1,0,0,-1.3,0,0,1.3,0,0,-0.1,0,0,-1.3,0,0,1.3,0,0,4.1,0.12,-0.12,0,0.176,0.07,-0.07,0,0,0,0,0,0,3,0,12.088,0.02,0,11.899,0.019,0,11.859,0.018,0,11.829,0.023,0,11.851,0.021,0,11.815,0.151,0,9.56,-1,14,0.189,0.028,0,0.04,0.026,0,0.229,0.027,0,5
"2851",2851,0,3,1.2137672,4.6e-06,-4.6e-06,0,0,0.07,0.02,-0.02,0,0,1,0,2,292.219033,44.61916,38.7,6.3,-6.3,0,16.124,0,14.993,0,3068,174,-174,0,0.13,0.05,-0.05,0,0.17,0.04,-0.04,0,1,0,0,0,0,0,0.78,0.22,-0.22,0,0.007,0.002,-0.002,0,0.049329,0.002408,-0.001888,NA,2455003.48329,0.00054,-0.00054,0,0,2011,3,0,59,14,19.48126886,76.918611,12.547975,309.616774,65.031691,0,24.93,0.04,-0.04,0,40.11,0.06,-0.06,0,84,0.1,0,-423,0.1,0,431.3,0.1,0,93.1,0.1,0,-417.4,0.1,0,427.7,0.1,0,5.01,0.02,-0.02,NA,-0.33,0.12,-0.12,0,0,0,0,0,0,3,0,12.177,0.021,0,11.685,0.018,0,11.465,0.018,0,11.257,0.023,0,11.065,0.02,0,10.935,0.077,0,9.007,-1,15,0.492,0.028,0,0.22,0.025,0,0.712,0.028,0,5
"2852",2852,0,3,0.45328509,9.7e-07,-9.7e-07,0,0,0.065,0.018,-0.018,0,0,1,0,1,292.219033,44.61916,38.7,6.3,-6.3,0,16.124,0,14.993,0,3068,174,-174,0,0.13,0.05,-0.05,0,0.17,0.04,-0.04,0,1,0,0,0,0,0,0.73,0.2,-0.2,0,0.007,0.002,-0.002,0,0.05249,0.0053,-0.0017,NA,2454966.86952,0.00042,-0.00042,0,0,2011,3,0,55,14,19.48126886,76.918611,12.547975,309.616774,65.031691,0,24.93,0.04,-0.04,0,40.11,0.06,-0.06,0,84,0.1,0,-423,0.133,0,431.3,0.1,0,93.1,0.1,0,-417.4,0.1,0,427.7,0.1,0,4.94,0.3,-0.3,NA,-0.33,0.12,-0.12,0,0,0,0,0,0,3,0,12.177,0.021,0,11.685,0.018,0,11.465,0.018,0,11.257,0.023,0,11.065,0.02,0,10.935,0.077,0,9.007,-1,15,0.492,0.028,0,0.22,0.025,0,0.712,0.028,0,5
"2853",2853,0,3,1.865169,1.4e-05,-1.4e-05,0,0,0.051,0.016,-0.016,0,0,1,0,2,292.219033,44.61916,38.7,6.3,-6.3,0,16.124,0,14.993,0,3068,174,-174,0,0.13,0.05,-0.05,0,0.17,0.04,-0.04,0,1,0,0,0,0,0,0.57,0.18,-0.18,0,0.005,0.002,-0.002,0,0.0508333,0.001904,-0.001783,NA,2454966.7847,0.0013,-0.0013,0,0,2011,3,0,59,14,19.48126886,76.918611,12.547975,309.616774,65.031691,0,24.93,0.04,-0.04,0,40.11,0.06,-0.06,0,84,0.1,0,-423,0.1,0,431.3,0.1,0,93.1,0.1,0,-417.4,0.1,0,427.7,0.1,0,4.9,0.03,-0.03,NA,-0.33,0.12,-0.12,0,0,0,0,0,0,3,0,12.177,0.021,0,11.685,0.018,0,11.465,0.018,0,11.257,0.023,0,11.065,0.02,0,10.935,0.077,0,9.007,-1,15,0.492,0.028,0,0.22,0.025,0,0.712,0.028,0,5
"2854",2854,0,1,704.1984,0.0016,-0.0016,0,0,0.371,0.017,-0.014,0,0,1,0,0,283.256822,45.087776,320,20,-20,0,13.354,0,13.348,0,5308,50,-50,0,0.79,0.03,-0.03,0,0.76,0.03,-0.03,0,1,0,0,0,0,0,4.16,0.19,-0.16,0,0.038,0.002,-0.002,0,0.6579,0.005,-0.0042,0,2455325.7674,0.0012,-0.0012,0,0,2014,3,0,35,10,18.88378813,74.789135,18.57627,294.899313,67.384583,0,2.84,0.02,-0.02,0,352.1,2.05,-2.05,0,-4,0,0,-20.4,0,0,20.8,0,0,-4,0,0,-20.4,0,0,20.8,0,0,4.61,0.1,-0.1,0,-0.25,0.08,-0.08,0,0,0,0,0,0,3,0,12.009,0.02,0,11.619,0.019,0,11.535,0.017,0,11.467,0.023,0,11.494,0.021,0,11.504,0.123,0,9.354,-1,14,0.39,0.028,0,0.084,0.025,0,0.474,0.026,0,5
"2855",2855,0,1,7.8914483,5e-07,-5.1e-07,0,0,1.15,0.11,-0.11,0,0,1,0,1,282.629656,46.323357,692,102.44,-70.28,0,13.435,0,13.423,0,5972,84,-84,0,1.15,0.06,-0.06,0,1.24,0.12,-0.12,0,1,1,0,0,0,0,12.89,1.23,-1.23,0,0.12,0.01,-0.01,0,0.162525,0.001092,-0.0046,NA,2455010.25005,0.00011,-9.4e-05,0,0,2014,3,0,64,15,18.84197707,75.862642,19.405795,294.549098,68.688926,0,1.35,0.01,-0.01,0,738.2,6.82,-6.82,0,-3.5,0,0,-11.8,0,0,12.3,0,0,-3.5,0,0,-11.8,0,0,12.3,0,0,4.31,0.07,-0.07,0,0.23,0.09,-0.09,0,0,0,0,0,0,3,0,12.357,0.025,0,12.126,0.019,0,12.041,0.011,0,12.037,0.022,0,12.079,0.021,0,12.051,0.19,0,9.255,-1,14,0.231,0.031,0,0.085,0.022,0,0.316,0.027,0,5
"2856",2856,0,1,2.6843285,7e-08,-7e-08,0,0,1.192,0.052,-0.052,0,0,1,0,1,292.855742,46.391178,725,75,-75,0,14.29,0,14.28,0,5560,80,-80,0,0.85,0.04,-0.04,0,0.95,0.04,-0.04,0,1,1,0,0,0,0,13.361,0.583,-0.583,0,0.123,0.005,-0.005,0,0.1134,1e-04,-1e-04,0,2454966.35481,2.1e-05,-2.1e-05,0,0,2014,3,0,84,15,19.52371613,78.752559,12.921084,312.23269,66.510825,0,1.29,0.02,-0.02,0,775.55,13.23,-13.23,0,-2,0,0,3.8,0,0,4.3,0,0,-2,0,0,3.8,0,0,4.3,0,0,4.41,0.04,-0.04,0,-0.1,0.05,-0.05,0,0,0,0,0,0,3,0,13.142,0.022,0,12.847,0.018,0,12.779,0.03,0,12.656,0.024,0,12.696,0.023,0,12.649,0.363,0,9.509,-1,14,0.295,0.028,0,0.068,0.035,0,0.363,0.037,0,5
"2857",2857,0,2,3.3118644,3.9e-07,-3.9e-07,0,0,0.89,0.08,-0.06,0,0,1,0,1,298.62489,48.577454,698.39,9.94,-9.69,0,14.256,0,14.229,0,5460,81,-81,0,1.01,0.05,-0.05,0,0.94,0.06,-0.06,0,1,1,0,0,0,0,9.98,0.9,-0.67,0,0.091,0.008,-0.006,0,0.1115,1e-04,-0.00475,NA,2454964.7427,0.00023,-0.00017,0,0,2014,3,0,55,14,19.908326,82.576569,10.482703,323.498813,66.777499,NA,1.4,0.02,-0.02,0,712.87,10.31,-10.31,0,6.2,0,0,1.2,0,0,6.3,0,0,6.2,0,0,1.2,0,0,6.3,0,0,4.5,0.05,-0.05,0,0.44,0.14,-0.14,0,0,0,0,0,0,3,0,12.905,0.025,0,12.6,0.032,0,12.47,0.022,0,12.472,0.022,0,12.55,0.023,0,12.243,0.246,-1,9.305,-1,14,0.305,0.041,0,0.13,0.039,0,0.435,0.033,0,5
